layer,regime,fold,n_train,n_test,accuracy,roc_auc,raw_score_parity_max
20,joint,actor_22_statement_02,92,4,0.5,1.0,3.552713678800501e-14
20,joint,actor_23_statement_01,92,4,0.5,0.5,7.105427357601002e-14
20,joint,actor_23_statement_02,92,4,0.5,0.25,1.0658141036401503e-14
20,joint,actor_24_statement_01,92,4,0.5,0.0,2.842170943040401e-14
20,joint,actor_24_statement_02,92,4,0.5,0.5,2.1316282072803006e-14
21,speaker,actor_01_statement_None,184,8,0.625,0.625,2.1316282072803006e-14
21,speaker,actor_02_statement_None,184,8,0.75,0.875,1.021405182655144e-14
21,speaker,actor_03_statement_None,184,8,0.75,0.75,2.531308496145357e-14
21,speaker,actor_04_statement_None,184,8,0.875,1.0,1.2878587085651816e-14
21,speaker,actor_05_statement_None,184,8,0.375,0.5,6.217248937900877e-15
21,speaker,actor_06_statement_None,184,8,1.0,1.0,8.43769498715119e-15
21,speaker,actor_07_statement_None,184,8,0.875,0.875,1.1102230246251565e-14
21,speaker,actor_08_statement_None,184,8,0.25,0.3125,1.554312234475219e-14
21,speaker,actor_09_statement_None,184,8,0.75,0.875,8.881784197001252e-15
21,speaker,actor_10_statement_None,184,8,0.625,0.75,1.2434497875801753e-14
21,speaker,actor_11_statement_None,184,8,0.75,0.625,6.439293542825908e-15
21,speaker,actor_12_statement_None,184,8,0.625,0.8125,1.0658141036401503e-14
21,speaker,actor_13_statement_None,184,8,0.625,0.75,1.1324274851176597e-14
21,speaker,actor_14_statement_None,184,8,0.75,0.75,1.2434497875801753e-14
21,speaker,actor_15_statement_None,184,8,0.75,0.875,1.6708856520608606e-14
21,speaker,actor_16_statement_None,184,8,0.625,0.6875,1.4210854715202004e-14
21,speaker,actor_17_statement_None,184,8,0.75,0.625,1.0269562977782698e-14
21,speaker,actor_18_statement_None,184,8,0.75,0.8125,1.9095836023552692e-14
21,speaker,actor_19_statement_None,184,8,0.625,0.6875,2.0872192862952943e-14
21,speaker,actor_20_statement_None,184,8,0.5,0.25,1.199040866595169e-14
21,speaker,actor_21_statement_None,184,8,1.0,1.0,1.6431300764452317e-14
21,speaker,actor_22_statement_None,184,8,0.625,0.625,8.881784197001252e-15
21,speaker,actor_23_statement_None,184,8,0.75,0.875,2.117750419472486e-14
21,speaker,actor_24_statement_None,184,8,0.625,0.5,1.5987211554602254e-14
21,statement,actor_None_statement_01,96,96,0.5,0.4674479166666667,6.750155989720952e-14
21,statement,actor_None_statement_02,96,96,0.5,0.609375,3.552713678800501e-14
21,joint,actor_01_statement_01,92,4,0.5,0.25,5.684341886080802e-14
21,joint,actor_01_statement_02,92,4,0.5,0.5,1.4210854715202004e-14
21,joint,actor_02_statement_01,92,4,0.5,0.0,4.973799150320701e-14
21,joint,actor_02_statement_02,92,4,0.5,0.5,2.1316282072803006e-14
21,joint,actor_03_statement_01,92,4,0.5,0.5,4.263256414560601e-14
21,joint,actor_03_statement_02,92,4,0.5,0.75,3.552713678800501e-14
21,joint,actor_04_statement_01,92,4,0.5,1.0,4.973799150320701e-14
21,joint,actor_04_statement_02,92,4,0.5,1.0,7.105427357601002e-15
21,joint,actor_05_statement_01,92,4,0.5,0.75,3.552713678800501e-14
21,joint,actor_05_statement_02,92,4,0.5,0.5,1.4210854715202004e-14
21,joint,actor_06_statement_01,92,4,0.5,0.5,2.842170943040401e-14
21,joint,actor_06_statement_02,92,4,0.5,0.0,1.4210854715202004e-14
21,joint,actor_07_statement_01,92,4,0.5,1.0,1.4210854715202004e-14
21,joint,actor_07_statement_02,92,4,0.5,1.0,1.0658141036401503e-14
21,joint,actor_08_statement_01,92,4,0.5,0.75,3.730349362740526e-14
21,joint,actor_08_statement_02,92,4,0.5,1.0,3.552713678800501e-14
21,joint,actor_09_statement_01,92,4,0.5,0.75,3.552713678800501e-14
21,joint,actor_09_statement_02,92,4,0.5,0.75,2.1316282072803006e-14
21,joint,actor_10_statement_01,92,4,0.5,0.5,1.4210854715202004e-14
21,joint,actor_10_statement_02,92,4,0.5,1.0,3.552713678800501e-14
21,joint,actor_11_statement_01,92,4,0.5,0.0,2.842170943040401e-14
21,joint,actor_11_statement_02,92,4,0.5,0.75,2.842170943040401e-14
21,joint,actor_12_statement_01,92,4,0.5,0.25,2.842170943040401e-14
21,joint,actor_12_statement_02,92,4,0.5,1.0,2.1316282072803006e-14
21,joint,actor_13_statement_01,92,4,0.5,0.5,1.4210854715202004e-14
21,joint,actor_13_statement_02,92,4,0.5,0.25,2.842170943040401e-14
21,joint,actor_14_statement_01,92,4,0.5,0.25,1.4210854715202004e-14
21,joint,actor_14_statement_02,92,4,0.5,0.25,1.5987211554602254e-14
21,joint,actor_15_statement_01,92,4,0.5,1.0,1.0658141036401503e-14
21,joint,actor_15_statement_02,92,4,0.5,0.0,1.7763568394002505e-14
21,joint,actor_16_statement_01,92,4,0.5,0.5,2.1316282072803006e-14
21,joint,actor_16_statement_02,92,4,0.5,0.5,1.4210854715202004e-14
21,joint,actor_17_statement_01,92,4,0.5,0.5,4.263256414560601e-14
21,joint,actor_17_statement_02,92,4,0.5,0.75,1.0658141036401503e-14
21,joint,actor_18_statement_01,92,4,0.5,0.25,2.1316282072803006e-14
21,joint,actor_18_statement_02,92,4,0.5,1.0,2.1316282072803006e-14
21,joint,actor_19_statement_01,92,4,0.5,0.25,2.1316282072803006e-14
21,joint,actor_19_statement_02,92,4,0.5,0.75,2.1316282072803006e-14
21,joint,actor_20_statement_01,92,4,0.5,0.5,7.105427357601002e-14
21,joint,actor_20_statement_02,92,4,0.5,0.25,1.4210854715202004e-14
21,joint,actor_21_statement_01,92,4,0.5,0.25,4.263256414560601e-14
21,joint,actor_21_statement_02,92,4,0.5,0.25,7.105427357601002e-15
21,joint,actor_22_statement_01,92,4,0.5,0.5,4.263256414560601e-14
21,joint,actor_22_statement_02,92,4,0.5,0.75,1.0658141036401503e-14
21,joint,actor_23_statement_01,92,4,0.5,0.5,1.9539925233402755e-14
21,joint,actor_23_statement_02,92,4,0.5,0.0,2.4868995751603507e-14
21,joint,actor_24_statement_01,92,4,0.25,0.0,2.930988785010413e-14
21,joint,actor_24_statement_02,92,4,0.5,0.5,2.1316282072803006e-14
22,speaker,actor_01_statement_None,184,8,0.25,0.1875,1.6431300764452317e-14
22,speaker,actor_02_statement_None,184,8,0.875,1.0,1.5709655798445965e-14
22,speaker,actor_03_statement_None,184,8,0.5,0.5,1.2878587085651816e-14
22,speaker,actor_04_statement_None,184,8,0.875,0.9375,1.687538997430238e-14
22,speaker,actor_05_statement_None,184,8,0.5,0.5,1.0658141036401503e-14
22,speaker,actor_06_statement_None,184,8,1.0,1.0,2.4424906541753444e-14
22,speaker,actor_07_statement_None,184,8,0.75,0.8125,1.4988010832439613e-14
22,speaker,actor_08_statement_None,184,8,0.75,0.75,1.4210854715202004e-14
22,speaker,actor_09_statement_None,184,8,0.25,0.375,1.554312234475219e-14
