layer,metric,mean,ci_low,ci_high
22,cos_emotion_directions,-0.1322593282297135,-0.26431128844241547,0.15620113876280617
22,norm_offset,19.930564615116708,19.44571039370603,20.353533022003568
22,norm_d01,0.7561606773114053,0.7319429406316224,1.5054958776491485
22,norm_d02,1.2360273043559415,1.0353914929400176,2.666016484418068
22,norm_dshared,0.6804987156672162,0.6764033843321621,1.3917073190058868
22,offset_dot_d01,-0.4743747571944692,-8.10290490840369,7.001909246415984
22,offset_projection_d01,-0.6273465037631283,-6.902690041574601,6.459699992280877
22,offset_to_gap_d01,-0.8296470876979651,-6.671478330411968,6.446228347542602
22,offset_cos_d01,-0.03147660469625159,-0.3497931510986228,0.32157085826135423
22,offset_dot_d02,9.744554577219779,-2.1102507282274265,20.882140213097127
22,offset_projection_d02,7.883769673112025,-1.558305308425213,11.321991851920494
22,offset_to_gap_d02,6.378313525379628,-1.1421892143380474,7.81756613116794
22,offset_cos_d02,0.3955617828875973,-0.07879760109517651,0.5676688961053019
22,offset_dot_dshared,4.635089910012655,-2.9769417985687094,12.11266556430885
22,offset_projection_dshared,6.811313237333647,-3.2746861121032564,11.866876836541715
22,offset_to_gap_dshared,10.00929624188237,-3.6946394299915175,13.254720241816713
22,offset_cos_dshared,0.34175214645788204,-0.1657968690454994,0.5919826519756356
23,cos_emotion_directions,-0.016962290551806942,-0.18303024224918912,0.2457297291014855
23,norm_offset,17.360223266973325,16.858932386262197,17.77400598851328
23,norm_d01,0.3304867877447949,0.2552022251516954,0.6386728740719385
23,norm_d02,0.7422364832241464,0.46482778268209096,1.9018269721839072
23,norm_dshared,0.40367525195761683,0.29828758468943906,0.9728487411737957
23,offset_dot_d01,-0.253965669501406,-0.9410162246513556,0.43118607486562704
23,offset_projection_d01,-0.7684593724137642,-1.79351492920581,1.3136894694735617
23,offset_to_gap_d01,-2.32523477763709,-4.540295162731585,4.1127607905436125
23,offset_cos_d01,-0.044265523582044435,-0.1033583852592826,0.07592990846285412
23,offset_dot_d02,9.84791133198214,-8.488741877194197,28.150338514646602
23,offset_projection_d02,13.267889081933191,-11.432795192744551,15.554579249973102
23,offset_to_gap_d02,17.875555004113764,-15.27578366990273,19.137789219893907
23,offset_cos_d02,0.7642694957255804,-0.6688066466688329,0.8902862984946737
23,offset_dot_dshared,4.7969728312403666,-4.31713310347026,13.998986643069374
23,offset_projection_dshared,11.883247258724735,-10.163354006470495,14.84176539497783
23,offset_to_gap_dshared,29.437641275002893,-23.55921219803793,28.61655398194817
23,offset_cos_dshared,0.684510047824778,-0.591220029799675,0.8510419442753743
