layer,regime,fold,condition,n_train,n_test,n_cal_source,n_cal_target,accuracy,roc_auc,offset_norm,offset_probe_projection,score_shift_mean,raw_intercept
18,joint,actor_13_statement_01,independent_center,92,4,92,92,0.75,0.5,10.742583568667701,-9.496999695145638,9.496999695145638,-25.842586161869455
18,joint,actor_13_statement_01,independent_rank1,92,4,92,92,0.75,0.5,10.742583568667701,-9.496999695145638,9.231265533786098,-25.842586161869455
18,joint,actor_13_statement_02,raw,92,4,92,92,0.5,1.0,10.742583568667701,-38.92724091879741,0.0,-35.56462884956704
18,joint,actor_13_statement_02,source_center_noop,92,4,92,92,0.5,1.0,10.742583568667701,-38.92724091879741,0.0,-35.56462884956704
18,joint,actor_13_statement_02,independent_center,92,4,92,92,1.0,1.0,10.742583568667701,-38.92724091879741,38.92724091879741,-35.56462884956704
18,joint,actor_13_statement_02,independent_rank1,92,4,92,92,0.5,1.0,10.742583568667701,-38.92724091879741,42.031482959242155,-35.56462884956704
18,joint,actor_14_statement_01,raw,92,4,92,92,0.5,0.0,10.739033268171557,-10.192885213743992,0.0,-29.133477140556852
18,joint,actor_14_statement_01,source_center_noop,92,4,92,92,0.5,0.0,10.739033268171557,-10.192885213743992,0.0,-29.133477140556852
18,joint,actor_14_statement_01,independent_center,92,4,92,92,0.5,0.0,10.739033268171557,-10.192885213743992,10.192885213743992,-29.133477140556852
18,joint,actor_14_statement_01,independent_rank1,92,4,92,92,0.5,0.25,10.739033268171557,-10.192885213743992,10.686439833442703,-29.133477140556852
18,joint,actor_14_statement_02,raw,92,4,92,92,0.5,1.0,10.739033268171557,-36.61586180639027,0.0,-30.065078817788702
18,joint,actor_14_statement_02,source_center_noop,92,4,92,92,0.5,1.0,10.739033268171557,-36.61586180639027,0.0,-30.065078817788702
18,joint,actor_14_statement_02,independent_center,92,4,92,92,1.0,1.0,10.739033268171557,-36.61586180639027,36.61586180639027,-30.065078817788702
18,joint,actor_14_statement_02,independent_rank1,92,4,92,92,1.0,1.0,10.739033268171557,-36.61586180639027,37.428577586973006,-30.065078817788702
18,joint,actor_15_statement_01,raw,92,4,92,92,0.5,1.0,10.76404257454581,-11.422904006631663,0.0,-28.08962988552407
18,joint,actor_15_statement_01,source_center_noop,92,4,92,92,0.5,1.0,10.76404257454581,-11.422904006631663,0.0,-28.08962988552407
18,joint,actor_15_statement_01,independent_center,92,4,92,92,0.75,1.0,10.76404257454581,-11.422904006631663,11.422904006631663,-28.08962988552407
18,joint,actor_15_statement_01,independent_rank1,92,4,92,92,0.75,1.0,10.76404257454581,-11.422904006631663,9.74390733431082,-28.08962988552407
18,joint,actor_15_statement_02,raw,92,4,92,92,0.5,0.75,10.76404257454581,-40.56088275165878,0.0,-32.60827386213928
18,joint,actor_15_statement_02,source_center_noop,92,4,92,92,0.5,0.75,10.76404257454581,-40.56088275165878,0.0,-32.60827386213928
18,joint,actor_15_statement_02,independent_center,92,4,92,92,0.5,0.75,10.76404257454581,-40.56088275165878,40.56088275165878,-32.60827386213928
18,joint,actor_15_statement_02,independent_rank1,92,4,92,92,0.5,0.5,10.76404257454581,-40.56088275165878,43.369908763951585,-32.60827386213928
18,joint,actor_16_statement_01,raw,92,4,92,92,0.75,0.75,10.765481021258589,-3.1757966666924826,0.0,-25.521643662520997
18,joint,actor_16_statement_01,source_center_noop,92,4,92,92,0.75,0.75,10.765481021258589,-3.1757966666924826,0.0,-25.521643662520997
18,joint,actor_16_statement_01,independent_center,92,4,92,92,0.75,0.75,10.765481021258589,-3.1757966666924826,3.1757966666924826,-25.521643662520997
18,joint,actor_16_statement_01,independent_rank1,92,4,92,92,0.75,0.75,10.765481021258589,-3.1757966666924826,3.2485899332012416,-25.521643662520997
18,joint,actor_16_statement_02,raw,92,4,92,92,0.5,0.75,10.765481021258589,-47.41626030302451,0.0,-39.32703605275861
18,joint,actor_16_statement_02,source_center_noop,92,4,92,92,0.5,0.75,10.765481021258589,-47.41626030302451,0.0,-39.32703605275861
18,joint,actor_16_statement_02,independent_center,92,4,92,92,0.75,0.75,10.765481021258589,-47.41626030302451,47.41626030302451,-39.32703605275861
18,joint,actor_16_statement_02,independent_rank1,92,4,92,92,1.0,1.0,10.765481021258589,-47.41626030302451,47.1369571037788,-39.32703605275861
18,joint,actor_17_statement_01,raw,92,4,92,92,0.5,0.25,10.741465240890388,0.3059199317917578,0.0,-31.194673090514634
18,joint,actor_17_statement_01,source_center_noop,92,4,92,92,0.5,0.25,10.741465240890388,0.3059199317917578,0.0,-31.194673090514634
18,joint,actor_17_statement_01,independent_center,92,4,92,92,0.5,0.25,10.741465240890388,0.3059199317917578,-0.3059199317917578,-31.194673090514634
18,joint,actor_17_statement_01,independent_rank1,92,4,92,92,0.5,0.25,10.741465240890388,0.3059199317917578,-0.2567946311215392,-31.194673090514634
18,joint,actor_17_statement_02,raw,92,4,92,92,0.5,0.25,10.741465240890388,-33.03567503759376,0.0,-29.39532826002401
18,joint,actor_17_statement_02,source_center_noop,92,4,92,92,0.5,0.25,10.741465240890388,-33.03567503759376,0.0,-29.39532826002401
18,joint,actor_17_statement_02,independent_center,92,4,92,92,0.5,0.25,10.741465240890388,-33.03567503759376,33.03567503759376,-29.39532826002401
18,joint,actor_17_statement_02,independent_rank1,92,4,92,92,0.25,0.25,10.741465240890388,-33.03567503759376,34.55514110000351,-29.39532826002401
18,joint,actor_18_statement_01,raw,92,4,92,92,0.5,0.25,10.78603011697633,-10.552010526746189,0.0,-26.705376800839776
18,joint,actor_18_statement_01,source_center_noop,92,4,92,92,0.5,0.25,10.78603011697633,-10.552010526746189,0.0,-26.705376800839776
18,joint,actor_18_statement_01,independent_center,92,4,92,92,0.25,0.25,10.78603011697633,-10.552010526746189,10.552010526746189,-26.705376800839776
18,joint,actor_18_statement_01,independent_rank1,92,4,92,92,0.25,0.25,10.78603011697633,-10.552010526746189,10.180781716974453,-26.705376800839776
18,joint,actor_18_statement_02,raw,92,4,92,92,0.5,0.75,10.78603011697633,-36.838903743503636,0.0,-35.56698582548537
18,joint,actor_18_statement_02,source_center_noop,92,4,92,92,0.5,0.75,10.78603011697633,-36.838903743503636,0.0,-35.56698582548537
18,joint,actor_18_statement_02,independent_center,92,4,92,92,0.5,0.75,10.78603011697633,-36.838903743503636,36.838903743503636,-35.56698582548537
18,joint,actor_18_statement_02,independent_rank1,92,4,92,92,0.5,0.5,10.78603011697633,-36.838903743503636,32.466140711504224,-35.56698582548537
18,joint,actor_19_statement_01,raw,92,4,92,92,0.5,0.5,10.746455725993254,-11.495253112188802,0.0,-31.462162998627935
18,joint,actor_19_statement_01,source_center_noop,92,4,92,92,0.5,0.5,10.746455725993254,-11.495253112188802,0.0,-31.462162998627935
18,joint,actor_19_statement_01,independent_center,92,4,92,92,0.75,0.5,10.746455725993254,-11.495253112188802,11.495253112188802,-31.462162998627935
18,joint,actor_19_statement_01,independent_rank1,92,4,92,92,0.75,0.75,10.746455725993254,-11.495253112188802,11.682882501248233,-31.462162998627935
18,joint,actor_19_statement_02,raw,92,4,92,92,0.5,0.75,10.746455725993254,-40.981610243522226,0.0,-34.78714283709195
18,joint,actor_19_statement_02,source_center_noop,92,4,92,92,0.5,0.75,10.746455725993254,-40.981610243522226,0.0,-34.78714283709195
18,joint,actor_19_statement_02,independent_center,92,4,92,92,0.5,0.75,10.746455725993254,-40.981610243522226,40.981610243522226,-34.78714283709195
18,joint,actor_19_statement_02,independent_rank1,92,4,92,92,0.5,0.25,10.746455725993254,-40.981610243522226,43.89394426684545,-34.78714283709195
18,joint,actor_20_statement_01,raw,92,4,92,92,0.5,0.75,10.728171161982196,-15.828664653454407,0.0,-25.85664625760798
18,joint,actor_20_statement_01,source_center_noop,92,4,92,92,0.5,0.75,10.728171161982196,-15.828664653454407,0.0,-25.85664625760798
18,joint,actor_20_statement_01,independent_center,92,4,92,92,0.5,0.75,10.728171161982196,-15.828664653454407,15.828664653454407,-25.85664625760798
18,joint,actor_20_statement_01,independent_rank1,92,4,92,92,0.5,0.75,10.728171161982196,-15.828664653454407,17.014167689212606,-25.85664625760798
18,joint,actor_20_statement_02,raw,92,4,92,92,0.5,0.25,10.728171161982196,-42.92118962019968,0.0,-32.863630910343126
18,joint,actor_20_statement_02,source_center_noop,92,4,92,92,0.5,0.25,10.728171161982196,-42.92118962019968,0.0,-32.863630910343126
18,joint,actor_20_statement_02,independent_center,92,4,92,92,0.25,0.25,10.728171161982196,-42.92118962019968,42.92118962019968,-32.863630910343126
18,joint,actor_20_statement_02,independent_rank1,92,4,92,92,0.75,1.0,10.728171161982196,-42.92118962019968,42.56001314106838,-32.863630910343126
18,joint,actor_21_statement_01,raw,92,4,92,92,0.5,0.75,10.785548219180342,-9.850538991268492,0.0,-32.41292471503763
18,joint,actor_21_statement_01,source_center_noop,92,4,92,92,0.5,0.75,10.785548219180342,-9.850538991268492,0.0,-32.41292471503763
18,joint,actor_21_statement_01,independent_center,92,4,92,92,0.5,0.75,10.785548219180342,-9.850538991268492,9.850538991268492,-32.41292471503763
18,joint,actor_21_statement_01,independent_rank1,92,4,92,92,0.25,0.5,10.785548219180342,-9.850538991268492,9.883757839326112,-32.41292471503763
18,joint,actor_21_statement_02,raw,92,4,92,92,0.5,0.5,10.785548219180342,-42.0415446345158,0.0,-35.267939818546395
18,joint,actor_21_statement_02,source_center_noop,92,4,92,92,0.5,0.5,10.785548219180342,-42.0415446345158,0.0,-35.267939818546395
18,joint,actor_21_statement_02,independent_center,92,4,92,92,0.5,0.5,10.785548219180342,-42.0415446345158,42.0415446345158,-35.267939818546395
18,joint,actor_21_statement_02,independent_rank1,92,4,92,92,0.5,0.25,10.785548219180342,-42.0415446345158,41.78880096840962,-35.267939818546395
18,joint,actor_22_statement_01,raw,92,4,92,92,0.5,0.0,10.753078069005724,-11.80909312442698,0.0,-26.69353451739596
18,joint,actor_22_statement_01,source_center_noop,92,4,92,92,0.5,0.0,10.753078069005724,-11.80909312442698,0.0,-26.69353451739596
18,joint,actor_22_statement_01,independent_center,92,4,92,92,0.5,0.0,10.753078069005724,-11.80909312442698,11.80909312442698,-26.69353451739596
18,joint,actor_22_statement_01,independent_rank1,92,4,92,92,0.5,0.0,10.753078069005724,-11.80909312442698,12.451637154723091,-26.69353451739596
18,joint,actor_22_statement_02,raw,92,4,92,92,0.5,1.0,10.753078069005724,-41.372111495159274,0.0,-34.60008987972099
18,joint,actor_22_statement_02,source_center_noop,92,4,92,92,0.5,1.0,10.753078069005724,-41.372111495159274,0.0,-34.60008987972099
18,joint,actor_22_statement_02,independent_center,92,4,92,92,0.75,1.0,10.753078069005724,-41.372111495159274,41.372111495159274,-34.60008987972099
18,joint,actor_22_statement_02,independent_rank1,92,4,92,92,0.75,1.0,10.753078069005724,-41.372111495159274,42.93241789534316,-34.60008987972099
18,joint,actor_23_statement_01,raw,92,4,92,92,0.5,1.0,10.764831286836767,-12.61409760729384,0.0,-29.41430788264773
18,joint,actor_23_statement_01,source_center_noop,92,4,92,92,0.5,1.0,10.764831286836767,-12.61409760729384,0.0,-29.41430788264773
18,joint,actor_23_statement_01,independent_center,92,4,92,92,0.75,1.0,10.764831286836767,-12.61409760729384,12.61409760729384,-29.41430788264773
18,joint,actor_23_statement_01,independent_rank1,92,4,92,92,0.75,1.0,10.764831286836767,-12.61409760729384,12.333221053190158,-29.41430788264773
18,joint,actor_23_statement_02,raw,92,4,92,92,0.5,0.0,10.764831286836767,-41.777659059789684,0.0,-34.62307046627156
18,joint,actor_23_statement_02,source_center_noop,92,4,92,92,0.5,0.0,10.764831286836767,-41.777659059789684,0.0,-34.62307046627156
18,joint,actor_23_statement_02,independent_center,92,4,92,92,0.25,0.0,10.764831286836767,-41.777659059789684,41.777659059789684,-34.62307046627156
18,joint,actor_23_statement_02,independent_rank1,92,4,92,92,0.25,0.0,10.764831286836767,-41.777659059789684,42.018334189821594,-34.62307046627156
18,joint,actor_24_statement_01,raw,92,4,92,92,0.5,0.5,10.790315391103581,-5.742206074970373,0.0,-23.333145432791913
18,joint,actor_24_statement_01,source_center_noop,92,4,92,92,0.5,0.5,10.790315391103581,-5.742206074970373,0.0,-23.333145432791913
18,joint,actor_24_statement_01,independent_center,92,4,92,92,0.75,0.5,10.790315391103581,-5.742206074970373,5.742206074970373,-23.333145432791913
18,joint,actor_24_statement_01,independent_rank1,92,4,92,92,0.75,0.5,10.790315391103581,-5.742206074970373,5.5582396261668165,-23.333145432791913
18,joint,actor_24_statement_02,raw,92,4,92,92,0.5,0.5,10.790315391103581,-47.645252906817326,0.0,-36.48793301566382
18,joint,actor_24_statement_02,source_center_noop,92,4,92,92,0.5,0.5,10.790315391103581,-47.645252906817326,0.0,-36.48793301566382
18,joint,actor_24_statement_02,independent_center,92,4,92,92,0.25,0.5,10.790315391103581,-47.645252906817326,47.645252906817326,-36.48793301566382
18,joint,actor_24_statement_02,independent_rank1,92,4,92,92,0.5,0.5,10.790315391103581,-47.645252906817326,46.08019340711267,-36.48793301566382
19,statement,actor_None_statement_01,raw,96,96,96,96,0.5104166666666666,0.6419270833333334,3.592535852766592,13.534845626600271,0.0,19.539423980685566
19,statement,actor_None_statement_01,source_center_noop,96,96,96,96,0.5104166666666666,0.6419270833333334,3.592535852766592,13.534845626600271,0.0,19.539423980685566
