position,layer,regime,metric,mean,ci_low,ci_high
audio,8,joint,roc_auc,0.8815104166666666,0.8450493706597223,0.9197075737847222
audio,8,joint,mean_within_fold_auc,0.9635416666666666,,
audio,9,speaker,accuracy,0.8854166666666666,0.8333333333333334,0.9322916666666666
audio,9,speaker,roc_auc,0.9441189236111112,0.9071180555555556,0.9776475694444444
audio,9,speaker,mean_within_fold_auc,0.9791666666666666,,
audio,9,statement,accuracy,0.7291666666666666,0.6822916666666666,0.78125
audio,9,statement,roc_auc,0.9112413194444444,0.8752170138888888,0.9446614583333334
audio,9,statement,mean_within_fold_auc,0.9615885416666667,,
audio,9,joint,accuracy,0.7291666666666666,0.6822916666666666,0.7760416666666666
audio,9,joint,roc_auc,0.8853081597222222,0.8505859375,0.9224175347222222
audio,9,joint,mean_within_fold_auc,0.96875,,
audio,10,speaker,accuracy,0.8697916666666666,0.8177083333333334,0.921875
audio,10,speaker,roc_auc,0.94140625,0.9019070095486111,0.9765625
audio,10,speaker,mean_within_fold_auc,0.9765625,,
audio,10,statement,accuracy,0.703125,0.671875,0.734375
audio,10,statement,roc_auc,0.8177083333333334,0.7836371527777778,0.8531928168402777
audio,10,statement,mean_within_fold_auc,0.9555121527777778,,
audio,10,joint,accuracy,0.6822916666666666,0.6458333333333334,0.71875
audio,10,joint,roc_auc,0.8026258680555556,0.7716986762152778,0.8362630208333334
audio,10,joint,mean_within_fold_auc,0.96875,,
audio,11,speaker,accuracy,0.859375,0.8072916666666666,0.9114583333333334
audio,11,speaker,roc_auc,0.9395616319444444,0.9011501736111112,0.9743923611111112
audio,11,speaker,mean_within_fold_auc,0.96875,,
audio,11,statement,accuracy,0.6927083333333334,0.6614583333333334,0.7239583333333334
audio,11,statement,roc_auc,0.7578125,0.7340494791666666,0.7841796875
audio,11,statement,mean_within_fold_auc,0.9526909722222222,,
audio,11,joint,accuracy,0.65625,0.6145833333333334,0.6979166666666666
audio,11,joint,roc_auc,0.744140625,0.7176649305555556,0.7732204861111112
audio,11,joint,mean_within_fold_auc,0.9739583333333334,,
audio,12,speaker,accuracy,0.859375,0.8072916666666666,0.9114583333333334
audio,12,speaker,roc_auc,0.9405381944444444,0.9026692708333334,0.9748263888888888
audio,12,speaker,mean_within_fold_auc,0.9791666666666666,,
audio,12,statement,accuracy,0.5833333333333334,0.5520833333333334,0.6197916666666666
audio,12,statement,roc_auc,0.7489149305555556,0.7278645833333334,0.7709418402777778
audio,12,statement,mean_within_fold_auc,0.9518229166666667,,
audio,12,joint,accuracy,0.5833333333333334,0.546875,0.625
audio,12,joint,roc_auc,0.7358940972222222,0.7121310763888888,0.7606336805555556
audio,12,joint,mean_within_fold_auc,0.9635416666666666,,
audio,13,speaker,accuracy,0.8697916666666666,0.8177083333333334,0.921875
audio,13,speaker,roc_auc,0.9380425347222222,0.9000651041666666,0.9728732638888888
audio,13,speaker,mean_within_fold_auc,0.9739583333333334,,
audio,13,statement,accuracy,0.640625,0.5989583333333334,0.6822916666666666
audio,13,statement,roc_auc,0.7459852430555556,0.7261284722222222,0.7659505208333334
audio,13,statement,mean_within_fold_auc,0.9555121527777778,,
audio,13,joint,accuracy,0.6197916666666666,0.578125,0.6614583333333334
audio,13,joint,roc_auc,0.7307942708333334,0.7063774956597223,0.7546657986111112
audio,13,joint,mean_within_fold_auc,0.9635416666666666,,
audio,14,speaker,accuracy,0.8645833333333334,0.8177083333333334,0.9114583333333334
audio,14,speaker,roc_auc,0.9385850694444444,0.9010416666666666,0.9729844835069444
audio,14,speaker,mean_within_fold_auc,0.9713541666666666,,
audio,14,statement,accuracy,0.6354166666666666,0.59375,0.6770833333333334
audio,14,statement,roc_auc,0.7504340277777778,0.7272108289930556,0.7737630208333334
audio,14,statement,mean_within_fold_auc,0.9518229166666667,,
audio,14,joint,accuracy,0.6197916666666666,0.5833333333333334,0.6614583333333334
audio,14,joint,roc_auc,0.7355685763888888,0.7092013888888888,0.7616129557291667
audio,14,joint,mean_within_fold_auc,0.96875,,
audio,15,speaker,accuracy,0.859375,0.8072916666666666,0.9114583333333334
audio,15,speaker,roc_auc,0.9358723958333334,0.896484375,0.9721137152777778
audio,15,speaker,mean_within_fold_auc,0.9817708333333334,,
audio,15,statement,accuracy,0.6510416666666666,0.609375,0.6927083333333334
audio,15,statement,roc_auc,0.7387152777777778,0.7171223958333334,0.7592230902777778
audio,15,statement,mean_within_fold_auc,0.9448784722222223,,
audio,15,joint,accuracy,0.6145833333333334,0.578125,0.6510416666666666
audio,15,joint,roc_auc,0.7275390625,0.7022542317708333,0.7523898654513889
audio,15,joint,mean_within_fold_auc,0.9635416666666666,,
audio,16,speaker,accuracy,0.8489583333333334,0.7864583333333334,0.90625
audio,16,speaker,roc_auc,0.9431423611111112,0.9044053819444444,0.9764539930555556
audio,16,speaker,mean_within_fold_auc,0.9765625,,
audio,16,statement,accuracy,0.6666666666666666,0.6302083333333334,0.703125
audio,16,statement,roc_auc,0.7374131944444444,0.7178819444444444,0.7554253472222222
audio,16,statement,mean_within_fold_auc,0.9516059027777778,,
audio,16,joint,accuracy,0.6354166666666666,0.5989583333333334,0.671875
audio,16,joint,roc_auc,0.7235243055555556,0.6969401041666666,0.7493489583333334
audio,16,joint,mean_within_fold_auc,0.9583333333333334,,
audio,17,speaker,accuracy,0.8645833333333334,0.8020833333333334,0.921875
audio,17,speaker,roc_auc,0.9402126736111112,0.8990858289930556,0.9748263888888888
audio,17,speaker,mean_within_fold_auc,0.96875,,
audio,17,statement,accuracy,0.6770833333333334,0.640625,0.7135416666666666
audio,17,statement,roc_auc,0.7559678819444444,0.7296006944444444,0.7841796875
audio,17,statement,mean_within_fold_auc,0.9537760416666667,,
audio,17,joint,accuracy,0.6354166666666666,0.59375,0.6770833333333334
audio,17,joint,roc_auc,0.7416449652777778,0.7106092664930556,0.7722439236111112
audio,17,joint,mean_within_fold_auc,0.9583333333333334,,
audio,18,speaker,accuracy,0.8645833333333334,0.8125,0.9166666666666666
audio,18,speaker,roc_auc,0.9353298611111112,0.8932291666666666,0.9722222222222222
audio,18,speaker,mean_within_fold_auc,0.9635416666666666,,
audio,18,statement,accuracy,0.671875,0.6302083333333334,0.7135416666666666
audio,18,statement,roc_auc,0.7557508680555556,0.7301432291666666,0.7835286458333334
audio,18,statement,mean_within_fold_auc,0.9539930555555556,,
audio,18,joint,accuracy,0.65625,0.609375,0.703125
audio,18,joint,roc_auc,0.7429470486111112,0.7136501736111112,0.7736572265624999
audio,18,joint,mean_within_fold_auc,0.9635416666666666,,
audio,19,speaker,accuracy,0.8541666666666666,0.796875,0.9114583333333334
audio,19,speaker,roc_auc,0.9344618055555556,0.8924696180555556,0.9716796875
