position,layer,statement,metric,condition,mean,ci_low,ci_high
answer,1,01,pooled_roc_auc,within,0.75390625,0.6610134548611112,0.8433159722222222
answer,1,01,pooled_roc_auc,cross,0.8363715277777778,0.7673611111111112,0.9053927951388887
answer,1,01,pooled_roc_auc,gap,-0.08246527777777779,-0.1605902777777778,-0.00954861111111116
answer,1,01,accuracy,within,0.7083333333333334,0.6354166666666666,0.78125
answer,1,01,accuracy,cross,0.7291666666666666,0.65625,0.8020833333333334
answer,1,01,accuracy,gap,-0.02083333333333326,-0.125,0.09375
answer,1,02,mean_within_fold_auc,within,0.84375,0.7604166666666666,0.9270833333333334
answer,1,02,mean_within_fold_auc,cross,0.8854166666666666,0.8125,0.9479166666666666
answer,1,02,mean_within_fold_auc,gap,-0.04166666666666663,-0.10416666666666674,0.02083333333333326
answer,1,02,pooled_roc_auc,within,0.7673611111111112,0.6814236111111112,0.8585069444444444
answer,1,02,pooled_roc_auc,cross,0.8671875,0.79990234375,0.9279622395833331
answer,1,02,pooled_roc_auc,gap,-0.09982638888888884,-0.16883680555555547,-0.02604166666666674
answer,1,02,accuracy,within,0.7291666666666666,0.6458333333333334,0.8125
answer,1,02,accuracy,cross,0.6666666666666666,0.6041666666666666,0.7395833333333334
answer,1,02,accuracy,gap,0.0625,-0.01041666666666674,0.14583333333333326
answer,1,combined,mean_within_fold_auc,within,0.828125,0.75,0.9010416666666666
answer,1,combined,mean_within_fold_auc,cross,0.890625,0.8385416666666666,0.9375
answer,1,combined,mean_within_fold_auc,gap,-0.0625,-0.125,-0.00520833333333337
answer,1,combined,pooled_roc_auc,within,0.7616102430555556,0.6876085069444444,0.8365912543402777
answer,1,combined,pooled_roc_auc,cross,0.7885199652777778,0.7333957248263889,0.8432074652777778
answer,1,combined,pooled_roc_auc,gap,-0.02690972222222221,-0.08680555555555547,0.03287760416666663
answer,1,combined,accuracy,within,0.71875,0.65625,0.78125
answer,1,combined,accuracy,cross,0.6979166666666666,0.6458333333333334,0.7447916666666666
answer,1,combined,accuracy,gap,0.02083333333333337,-0.03645833333333337,0.08333333333333337
answer,2,01,mean_within_fold_auc,within,0.7708333333333334,0.65625,0.875
answer,2,01,mean_within_fold_auc,cross,0.8541666666666666,0.7604166666666666,0.9375
answer,2,01,mean_within_fold_auc,gap,-0.08333333333333326,-0.21875,0.05208333333333337
answer,2,01,pooled_roc_auc,within,0.7764756944444444,0.6727430555555556,0.8728298611111112
answer,2,01,pooled_roc_auc,cross,0.7825520833333334,0.7061631944444444,0.8580729166666666
