condition,actor,pair_id,statement,repetition,happy_margin,sad_margin,happy_shift,sad_shift,pair_separation,delta_pair_separation,common_shift
clean,23,pair_0088,01,01,-4.401366233825684,-4.017239093780518,0.0,0.0,-0.384127140045166,0.0,0.0
clean,23,pair_0089,01,02,-4.488677501678467,-4.4080986976623535,0.0,0.0,-0.08057880401611328,0.0,0.0
clean,23,pair_0090,02,01,-3.967418670654297,-3.457728862762451,0.0,0.0,-0.5096898078918457,0.0,0.0
clean,23,pair_0091,02,02,-3.599268674850464,-3.179276704788208,0.0,0.0,-0.41999197006225586,0.0,0.0
clean,24,pair_0092,01,01,-4.097404479980469,-4.705519676208496,0.0,0.0,0.6081151962280273,0.0,0.0
clean,24,pair_0093,01,02,-4.184145927429199,-4.5940375328063965,0.0,0.0,0.40989160537719727,0.0,0.0
clean,24,pair_0094,02,01,-3.719454050064087,-3.6296300888061523,0.0,0.0,-0.08982396125793457,0.0,0.0
clean,24,pair_0095,02,02,-3.743422269821167,-3.626431703567505,0.0,0.0,-0.11699056625366211,0.0,0.0
zero_noop,01,pair_0000,01,01,-4.591665744781494,-4.472484111785889,0.0,0.0,-0.11918163299560547,0.0,0.0
zero_noop,01,pair_0001,01,02,-4.798401832580566,-4.81397819519043,0.0,0.0,0.015576362609863281,0.0,0.0
zero_noop,01,pair_0002,02,01,-3.534588098526001,-3.9419286251068115,0.0,0.0,0.40734052658081055,0.0,0.0
zero_noop,01,pair_0003,02,02,-3.50520396232605,-3.6038966178894043,0.0,0.0,0.09869265556335449,0.0,0.0
zero_noop,02,pair_0004,01,01,-4.263078689575195,-4.868228912353516,0.0,0.0,0.6051502227783203,0.0,0.0
zero_noop,02,pair_0005,01,02,-4.474981307983398,-4.6972336769104,0.0,0.0,0.22225236892700195,0.0,0.0
zero_noop,02,pair_0006,02,01,-3.5094082355499268,-3.7750349044799805,0.0,0.0,0.2656266689300537,0.0,0.0
zero_noop,02,pair_0007,02,02,-3.4080164432525635,-3.4811511039733887,0.0,0.0,0.0731346607208252,0.0,0.0
zero_noop,03,pair_0008,01,01,-4.699073791503906,-4.5847086906433105,0.0,0.0,-0.1143651008605957,0.0,0.0
