layer_index,head_index,n_samples,n_pairs,mean_attention_mass,sd_attention_mass,mean_audio_value_contribution_norm,sd_audio_value_contribution_norm,mean_sad_minus_happy_attention_mass,mean_abs_sad_minus_happy_attention_mass,mean_sad_minus_happy_value_norm,mean_abs_sad_minus_happy_value_norm,attention_value_product,corr_pair_attention_delta_with_layer17_ce,corr_pair_value_delta_with_layer17_ce
15,2,192,96,0.05604289099574089,0.008567500859498978,0.11622951179742813,0.022154128178954124,0.0013260097475722432,0.0056429896503686905,0.0036209102254360914,0.016426974907517433,0.0065138377249240875,0.15314461354604228,0.08425819461608837
15,3,192,96,0.017188385128974915,0.004555721767246723,0.04096166789531708,0.01192411407828331,-0.00048700510524213314,0.0024108116049319506,-0.0016757989069446921,0.008750050328671932,0.000704064907040447,-0.3222753665467839,-0.29680282388369905
15,4,192,96,0.08925320953130722,0.005097611807286739,0.37479886412620544,0.02365744300186634,-0.000869381707161665,0.005014895461499691,-0.004798403475433588,0.024158677086234093,0.033452000468969345,0.13086476575314157,0.14609371949948619
15,5,192,96,0.004815271589905024,0.0007362100877799094,0.011316053569316864,0.0025319692213088274,-0.00015380795230157673,0.0006635550525970757,-0.0004354914417490363,0.0019210944883525372,5.4489872127305716e-05,0.02208530705563683,0.013846498049356996
15,6,192,96,0.24902373552322388,0.01645364984869957,0.5440570712089539,0.04676104709506035,0.0003458857536315918,0.01417269092053175,0.005203216336667538,0.03580429032444954,0.13548313081264496,-0.0027818158183888376,0.022129687504344325
15,7,192,96,0.26829013228416443,0.02287585660815239,0.6539649963378906,0.07341641932725906,-0.004647241905331612,0.023801520466804504,-0.012204633094370365,0.06533212959766388,0.1754523515701294,-0.1456705687527511,-0.1749151991693672
15,8,192,96,0.7401420474052429,0.06470301002264023,5.1019415855407715,0.8421200513839722,0.006661673542112112,0.05267614126205444,0.06254222244024277,0.5206763744354248,3.7761614322662354,0.04650630476228906,-0.0010386741849093357
15,9,192,96,0.024159260094165802,0.0031394886318594217,0.05673656240105629,0.00881012063473463,-2.2065030861995183e-05,0.0030112534295767546,-6.456995470216498e-05,0.00885173212736845,0.001370713347569108,-0.12879915028863462,-0.2401122402362688
15,10,192,96,0.02195817418396473,0.004198457580059767,0.056596606969833374,0.016824988648295403,0.0005679113673977554,0.0036460834089666605,0.0006295230705291033,0.011663642711937428,0.0012427581241354346,-0.20110941623811157,-0.21583589745341702
15,11,192,96,0.4427297115325928,0.033751800656318665,1.7345242500305176,0.3798052966594696,-0.001615116954781115,0.027448488399386406,-0.005249685142189264,0.20342136919498444,0.7679254412651062,0.16369921591533831,0.2327588628253313
15,12,192,96,0.5417635440826416,0.12310262024402618,2.976853132247925,0.9292331337928772,-0.009827605448663235,0.0767194926738739,-0.040686994791030884,0.6025522351264954,1.61275053024292,-0.028665195084091207,-0.016736099529138643
15,13,192,96,0.13011841475963593,0.03608079254627228,0.7291811108589172,0.24901679158210754,-0.001658992376178503,0.027962395921349525,-0.01451112236827612,0.18621297180652618,0.0948798879981041,0.054959644371788685,0.054522713502971124
16,0,192,96,0.5430184602737427,0.17654284834861755,6.816300868988037,2.713599681854248,-0.008348501287400723,0.05292782559990883,-0.16606254875659943,0.8277490735054016,3.7013771533966064,0.28224972805382154,0.17272833991882314
16,1,192,96,0.7297746539115906,0.1087954044342041,10.786884307861328,2.26846981048584,-0.00820027943700552,0.07304278761148453,-0.21667544543743134,1.2791732549667358,7.871994972229004,0.23185873760478584,0.17808798829959777
