sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,donor_sign,layer_index,clean_raw,patched_raw,delta_raw,clean_lens,patched_lens,delta_lens
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,7,-1.1718417406082153,-1.1718417406082153,-0.0,0.23355340957641602,0.23355340957641602,-0.0
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,8,-1.4581985473632812,-1.4581985473632812,-0.0,-0.9023777842521667,-0.9023777842521667,-0.0
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,9,-1.6156425476074219,-1.6156425476074219,-0.0,-1.3007533550262451,-1.3007533550262451,-0.0
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,10,-1.5740067958831787,-1.5740067958831787,-0.0,-1.3015577793121338,-1.3015577793121338,-0.0
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,11,-1.2862380743026733,-1.2862380743026733,-0.0,-0.24282968044281006,-0.24282968044281006,-0.0
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,12,-0.916408121585846,-0.916408121585846,-0.0,1.2151596546173096,1.2151596546173096,-0.0
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,13,-1.1105564832687378,-1.1105564832687378,-0.0,0.6684038639068604,0.6684038639068604,-0.0
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,14,-1.2841496467590332,-1.2841496467590332,-0.0,0.2309483289718628,0.2309483289718628,-0.0
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,15,-1.4302959442138672,-1.4302959442138672,-0.0,-0.0519256591796875,-0.0519256591796875,-0.0
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,16,-2.6113102436065674,-2.6113102436065674,-0.0,-2.518733024597168,-2.518733024597168,-0.0
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,17,-2.507514476776123,-2.507514476776123,-0.0,-1.6470344066619873,-1.6470344066619873,-0.0
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,18,-2.6272172927856445,-2.6174638271331787,-0.00975346565246582,-0.9196052551269531,-0.9075186252593994,-0.012086629867553711
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,19,-2.755790948867798,-2.7216899394989014,-0.034101009368896484,-0.14149808883666992,-0.10331153869628906,-0.03818655014038086
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,20,-5.853550910949707,-5.75527286529541,-0.09827804565429688,-2.663480281829834,-2.5628719329833984,-0.10060834884643555
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,21,-7.070694446563721,-6.847325325012207,-0.22336912155151367,-2.854116678237915,-2.6443586349487305,-0.20975804328918457
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,22,-11.416407585144043,-11.241032600402832,-0.17537498474121094,-3.49851655960083,-3.4014456272125244,-0.09707093238830566
pair_0054_happy,pair_0054,14,02,01,01,happy,pair_0054_sad,-1,23,-15.537309646606445,-15.417746543884277,-0.11956310272216797,-3.574894666671753,-3.611698627471924,0.0368039608001709
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,0,-0.2378043532371521,-0.2378043532371521,0.0,3.239968776702881,3.239968776702881,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,1,-0.5106897354125977,-0.5106897354125977,0.0,2.7947614192962646,2.7947614192962646,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,2,-0.7578169703483582,-0.7578169703483582,0.0,1.9856011867523193,1.9856011867523193,0.0
pair_0054_sad,pair_0054,14,02,01,01,sad,pair_0054_happy,1,3,-0.7013269662857056,-0.7013269662857056,0.0,2.381340503692627,2.381340503692627,0.0
