sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,donor_sign,condition,component,restore_layers,clean_margin,patched_margin,restored_margin,patch_effect,remaining_effect,mediated_effect
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_23,v,[23],-4.591665744781494,-4.7230024337768555,-4.7428178787231445,0.13133668899536133,0.1511521339416504,-0.019815444946289062
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,qk_joint,qk,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.665144920349121,0.13133668899536133,0.07347917556762695,0.057857513427734375
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,v_joint,v,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.621838569641113,0.13133668899536133,0.03017282485961914,0.10116386413574219
pair_0000_happy,pair_0000,01,01,01,01,happy,pair_0000_sad,-1,qkv_joint,qkv,"[18, 19, 20, 21, 22, 23]",-4.591665744781494,-4.7230024337768555,-4.591665744781494,0.13133668899536133,-0.0,0.13133668899536133
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,attention_18,attention,[18],-4.472484111785889,-4.368217468261719,-4.37799596786499,0.10426664352416992,0.09448814392089844,0.009778499603271484
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,mlp_18,mlp,[18],-4.472484111785889,-4.368217468261719,-4.3661699295043945,0.10426664352416992,0.10631418228149414,-0.0020475387573242188
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,attention_19,attention,[19],-4.472484111785889,-4.368217468261719,-4.420090198516846,0.10426664352416992,0.05239391326904297,0.05187273025512695
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,mlp_19,mlp,[19],-4.472484111785889,-4.368217468261719,-4.353100776672363,0.10426664352416992,0.11938333511352539,-0.015116691589355469
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,attention_20,attention,[20],-4.472484111785889,-4.368217468261719,-4.344964981079102,0.10426664352416992,0.1275191307067871,-0.023252487182617188
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,mlp_20,mlp,[20],-4.472484111785889,-4.368217468261719,-4.394420623779297,0.10426664352416992,0.0780634880065918,0.026203155517578125
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,attention_21,attention,[21],-4.472484111785889,-4.368217468261719,-4.35723876953125,0.10426664352416992,0.11524534225463867,-0.01097869873046875
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,mlp_21,mlp,[21],-4.472484111785889,-4.368217468261719,-4.364117622375488,0.10426664352416992,0.10836648941040039,-0.004099845886230469
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,attention_22,attention,[22],-4.472484111785889,-4.368217468261719,-4.40354061126709,0.10426664352416992,0.06894350051879883,0.035323143005371094
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,mlp_22,mlp,[22],-4.472484111785889,-4.368217468261719,-4.344418525695801,0.10426664352416992,0.1280655860900879,-0.02379894256591797
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,attention_23,attention,[23],-4.472484111785889,-4.368217468261719,-4.378292560577393,0.10426664352416992,0.0941915512084961,0.010075092315673828
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,mlp_23,mlp,[23],-4.472484111785889,-4.368217468261719,-4.357536315917969,0.10426664352416992,0.11494779586791992,-0.01068115234375
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,attention_joint,attention,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.472484111785889,0.10426664352416992,0.0,0.10426664352416992
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,mlp_joint,mlp,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.337184906005859,0.10426664352416992,0.1352992057800293,-0.031032562255859375
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,qk_18,qk,[18],-4.472484111785889,-4.368217468261719,-4.32985782623291,0.10426664352416992,0.14262628555297852,-0.038359642028808594
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_18,v,[18],-4.472484111785889,-4.368217468261719,-4.338761806488037,0.10426664352416992,0.13372230529785156,-0.02945566177368164
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,qk_19,qk,[19],-4.472484111785889,-4.368217468261719,-4.421375274658203,0.10426664352416992,0.05110883712768555,0.053157806396484375
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_19,v,[19],-4.472484111785889,-4.368217468261719,-4.502309799194336,0.10426664352416992,-0.029825687408447266,0.1340923309326172
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,qk_20,qk,[20],-4.472484111785889,-4.368217468261719,-4.403328895568848,0.10426664352416992,0.06915521621704102,0.035111427307128906
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_20,v,[20],-4.472484111785889,-4.368217468261719,-4.397444248199463,0.10426664352416992,0.07503986358642578,0.02922677993774414
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,qk_21,qk,[21],-4.472484111785889,-4.368217468261719,-4.300804615020752,0.10426664352416992,0.17167949676513672,-0.0674128532409668
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_21,v,[21],-4.472484111785889,-4.368217468261719,-4.394457817077637,0.10426664352416992,0.07802629470825195,0.02624034881591797
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,qk_22,qk,[22],-4.472484111785889,-4.368217468261719,-4.338784217834473,0.10426664352416992,0.13369989395141602,-0.029433250427246094
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_22,v,[22],-4.472484111785889,-4.368217468261719,-4.2737812995910645,0.10426664352416992,0.19870281219482422,-0.0944361686706543
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,qk_23,qk,[23],-4.472484111785889,-4.368217468261719,-4.39841365814209,0.10426664352416992,0.07407045364379883,0.030196189880371094
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_23,v,[23],-4.472484111785889,-4.368217468261719,-4.346956253051758,0.10426664352416992,0.12552785873413086,-0.021261215209960938
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,qk_joint,qk,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.340766429901123,0.10426664352416992,0.13171768188476562,-0.027451038360595703
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,v_joint,v,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.376524925231934,0.10426664352416992,0.09595918655395508,0.008307456970214844
pair_0000_sad,pair_0000,01,01,01,01,sad,pair_0000_happy,1,qkv_joint,qkv,"[18, 19, 20, 21, 22, 23]",-4.472484111785889,-4.368217468261719,-4.472484111785889,0.10426664352416992,0.0,0.10426664352416992
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,attention_18,attention,[18],-4.798401832580566,-4.856759071350098,-4.850869178771973,0.05835723876953125,0.05246734619140625,0.005889892578125
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,mlp_18,mlp,[18],-4.798401832580566,-4.856759071350098,-4.848092079162598,0.05835723876953125,0.04969024658203125,0.0086669921875
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,attention_19,attention,[19],-4.798401832580566,-4.856759071350098,-4.846924781799316,0.05835723876953125,0.04852294921875,0.00983428955078125
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,mlp_19,mlp,[19],-4.798401832580566,-4.856759071350098,-4.874373435974121,0.05835723876953125,0.07597160339355469,-0.017614364624023438
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,attention_20,attention,[20],-4.798401832580566,-4.856759071350098,-4.88186502456665,0.05835723876953125,0.08346319198608398,-0.025105953216552734
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,mlp_20,mlp,[20],-4.798401832580566,-4.856759071350098,-4.8817338943481445,0.05835723876953125,0.08333206176757812,-0.024974822998046875
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,attention_21,attention,[21],-4.798401832580566,-4.856759071350098,-4.7770514488220215,0.05835723876953125,-0.021350383758544922,0.07970762252807617
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,mlp_21,mlp,[21],-4.798401832580566,-4.856759071350098,-4.8343186378479,0.05835723876953125,0.035916805267333984,0.022440433502197266
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,attention_22,attention,[22],-4.798401832580566,-4.856759071350098,-4.909002304077148,0.05835723876953125,0.11060047149658203,-0.05224323272705078
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,mlp_22,mlp,[22],-4.798401832580566,-4.856759071350098,-4.9418511390686035,0.05835723876953125,0.1434493064880371,-0.08509206771850586
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,attention_23,attention,[23],-4.798401832580566,-4.856759071350098,-4.849549770355225,0.05835723876953125,0.0511479377746582,0.007209300994873047
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,mlp_23,mlp,[23],-4.798401832580566,-4.856759071350098,-4.902138710021973,0.05835723876953125,0.10373687744140625,-0.045379638671875
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,attention_joint,attention,"[18, 19, 20, 21, 22, 23]",-4.798401832580566,-4.856759071350098,-4.798401832580566,0.05835723876953125,-0.0,0.05835723876953125
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,mlp_joint,mlp,"[18, 19, 20, 21, 22, 23]",-4.798401832580566,-4.856759071350098,-4.9465813636779785,0.05835723876953125,0.1481795310974121,-0.08982229232788086
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,qk_18,qk,[18],-4.798401832580566,-4.856759071350098,-4.8685808181762695,0.05835723876953125,0.07017898559570312,-0.011821746826171875
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,v_18,v,[18],-4.798401832580566,-4.856759071350098,-4.936141014099121,0.05835723876953125,0.1377391815185547,-0.07938194274902344
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,qk_19,qk,[19],-4.798401832580566,-4.856759071350098,-4.912398338317871,0.05835723876953125,0.11399650573730469,-0.05563926696777344
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,v_19,v,[19],-4.798401832580566,-4.856759071350098,-4.9288740158081055,0.05835723876953125,0.13047218322753906,-0.07211494445800781
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,qk_20,qk,[20],-4.798401832580566,-4.856759071350098,-4.86374568939209,0.05835723876953125,0.06534385681152344,-0.0069866180419921875
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,v_20,v,[20],-4.798401832580566,-4.856759071350098,-4.892050743103027,0.05835723876953125,0.09364891052246094,-0.03529167175292969
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,-1,qk_21,qk,[21],-4.798401832580566,-4.856759071350098,-4.689139366149902,0.05835723876953125,-0.10926246643066406,0.1676197052001953
