sample_id,pair_id,actor,statement,repetition,intensity,emotion,donor_sample_id,layer,clean_margin,patched_margin,donor_sign,patch_effect
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,17,-4.798401832580566,-4.856759071350098,-1,0.05835723876953125
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,18,-4.798401832580566,-4.850873947143555,-1,0.05247211456298828
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,19,-4.798401832580566,-4.841050624847412,-1,0.0426487922668457
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,20,-4.798401832580566,-4.864117622375488,-1,0.06571578979492188
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,21,-4.798401832580566,-4.771058559417725,-1,-0.027343273162841797
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,22,-4.798401832580566,-4.797589302062988,-1,-0.000812530517578125
pair_0001_happy,pair_0001,01,01,02,01,happy,pair_0001_sad,23,-4.798401832580566,-4.798401832580566,-1,-0.0
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,0,-4.81397819519043,-4.798291206359863,1,0.015686988830566406
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,1,-4.81397819519043,-4.792577266693115,1,0.021400928497314453
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,2,-4.81397819519043,-4.788851737976074,1,0.02512645721435547
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,3,-4.81397819519043,-4.788820266723633,1,0.025157928466796875
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,4,-4.81397819519043,-4.785346984863281,1,0.028631210327148438
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,5,-4.81397819519043,-4.7848615646362305,1,0.02911663055419922
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,6,-4.81397819519043,-4.780975818634033,1,0.033002376556396484
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,7,-4.81397819519043,-4.778592109680176,1,0.035386085510253906
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,8,-4.81397819519043,-4.77197265625,1,0.04200553894042969
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,9,-4.81397819519043,-4.770076751708984,1,0.04390144348144531
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,10,-4.81397819519043,-4.797142505645752,1,0.016835689544677734
pair_0001_sad,pair_0001,01,01,02,01,sad,pair_0001_happy,11,-4.81397819519043,-4.786290168762207,1,0.027688026428222656
