endpoint,statement,condition,metric,mean,ci_low,ci_high
final_answer,ITH,no_mlp,pooled_roc_auc,0.7310175619834711,0.6571539256198347,0.8006198347107438
final_answer,ITH,no_mlp,accuracy,0.6704545454545454,0.6079545454545454,0.7329545454545454
final_answer,ITS,clean,mean_within_fold_auc,0.7840909090909091,0.6931818181818182,0.8636363636363636
final_answer,ITS,clean,pooled_roc_auc,0.7946797520661157,0.7249451188016529,0.8580836776859504
final_answer,ITS,clean,accuracy,0.7045454545454546,0.6363636363636364,0.7670454545454546
final_answer,ITS,no_attn,mean_within_fold_auc,0.7386363636363636,0.6477272727272727,0.8295454545454546
final_answer,ITS,no_attn,pooled_roc_auc,0.8011363636363636,0.7319182592975206,0.8620900051652891
final_answer,ITS,no_attn,accuracy,0.7272727272727273,0.6534090909090909,0.7954545454545454
final_answer,ITS,no_mlp,mean_within_fold_auc,0.8181818181818182,0.7386363636363636,0.8977272727272727
final_answer,ITS,no_mlp,pooled_roc_auc,0.8047520661157025,0.737474173553719,0.8651859504132231
final_answer,ITS,no_mlp,accuracy,0.7386363636363636,0.6761363636363636,0.8011363636363636
final_answer,IWL,clean,mean_within_fold_auc,0.7386363636363636,0.6477272727272727,0.8295454545454546
final_answer,IWL,clean,pooled_roc_auc,0.7356663223140496,0.6642561983471075,0.8037222365702479
final_answer,IWL,clean,accuracy,0.6704545454545454,0.6022727272727273,0.7386363636363636
final_answer,IWL,no_attn,mean_within_fold_auc,0.7727272727272727,0.6818181818181818,0.8522727272727273
final_answer,IWL,no_attn,pooled_roc_auc,0.7483212809917356,0.6834969008264463,0.8112119059917354
final_answer,IWL,no_attn,accuracy,0.7215909090909091,0.6590909090909091,0.7784090909090909
final_answer,IWL,no_mlp,mean_within_fold_auc,0.7159090909090909,0.6136363636363636,0.8068181818181818
final_answer,IWL,no_mlp,pooled_roc_auc,0.71900826446281,0.6451413997933884,0.7873224431818181
final_answer,IWL,no_mlp,accuracy,0.6477272727272727,0.5795454545454546,0.7159090909090909
final_answer,IWW,clean,mean_within_fold_auc,0.7613636363636364,0.6704545454545454,0.8522727272727273
final_answer,IWW,clean,pooled_roc_auc,0.7786673553719008,0.715001936983471,0.8388429752066116
final_answer,IWW,clean,accuracy,0.6988636363636364,0.6363636363636364,0.7613636363636364
final_answer,IWW,no_attn,mean_within_fold_auc,0.7613636363636364,0.6704545454545454,0.8522727272727273
final_answer,IWW,no_attn,pooled_roc_auc,0.743801652892562,0.6825929752066116,0.8037190082644629
final_answer,IWW,no_attn,accuracy,0.6590909090909091,0.5909090909090909,0.7272727272727273
final_answer,IWW,no_mlp,mean_within_fold_auc,0.7159090909090909,0.6136363636363636,0.8068181818181818
final_answer,IWW,no_mlp,pooled_roc_auc,0.7423811983471075,0.6774244576446281,0.8042355371900827
final_answer,IWW,no_mlp,accuracy,0.6534090909090909,0.5852272727272727,0.7159090909090909
final_answer,MTI,clean,mean_within_fold_auc,0.8295454545454546,0.75,0.8977272727272727
final_answer,MTI,clean,pooled_roc_auc,0.8181818181818182,0.7511621900826446,0.8797811208677685
final_answer,MTI,clean,accuracy,0.75,0.6818181818181818,0.8181818181818182
final_answer,MTI,no_attn,mean_within_fold_auc,0.8295454545454546,0.75,0.8977272727272727
final_answer,MTI,no_attn,pooled_roc_auc,0.8131456611570248,0.7479306559917355,0.8728047520661157
final_answer,MTI,no_attn,accuracy,0.7159090909090909,0.6477272727272727,0.7840909090909091
final_answer,MTI,no_mlp,mean_within_fold_auc,0.8295454545454546,0.75,0.8977272727272727
final_answer,MTI,no_mlp,pooled_roc_auc,0.8403925619834711,0.778021694214876,0.8966942148760331
final_answer,MTI,no_mlp,accuracy,0.75,0.6761363636363636,0.8181818181818182
final_answer,TAI,clean,mean_within_fold_auc,0.7840909090909091,0.6931818181818182,0.8636363636363636
final_answer,TAI,clean,pooled_roc_auc,0.7630423553719008,0.700025826446281,0.8261912448347106
final_answer,TAI,clean,accuracy,0.6761363636363636,0.6136363636363636,0.7386363636363636
final_answer,TAI,no_attn,mean_within_fold_auc,0.7840909090909091,0.6931818181818182,0.8636363636363636
final_answer,TAI,no_attn,pooled_roc_auc,0.7614927685950413,0.6998934659090909,0.8211550878099173
final_answer,TAI,no_attn,accuracy,0.6931818181818182,0.6306818181818182,0.7556818181818182
final_answer,TAI,no_mlp,mean_within_fold_auc,0.7727272727272727,0.6818181818181818,0.8522727272727273
final_answer,TAI,no_mlp,pooled_roc_auc,0.7104855371900827,0.6477240444214876,0.7755681818181818
final_answer,TAI,no_mlp,accuracy,0.6761363636363636,0.6136363636363636,0.7386363636363636
final_answer,TIE,clean,mean_within_fold_auc,0.7840909090909091,0.6931818181818182,0.8636363636363636
final_answer,TIE,clean,pooled_roc_auc,0.7704028925619835,0.7005423553719008,0.8340650826446281
final_answer,TIE,clean,accuracy,0.7102272727272727,0.6477272727272727,0.7727272727272727
final_answer,TIE,no_attn,mean_within_fold_auc,0.7727272727272727,0.6818181818181818,0.8522727272727273
final_answer,TIE,no_attn,pooled_roc_auc,0.7953254132231405,0.7276601239669421,0.8569247159090908
final_answer,TIE,no_attn,accuracy,0.7386363636363636,0.6704545454545454,0.8011363636363636
final_answer,TIE,no_mlp,mean_within_fold_auc,0.7727272727272727,0.6818181818181818,0.8522727272727273
final_answer,TIE,no_mlp,pooled_roc_auc,0.7503873966942148,0.6834969008264463,0.8141787190082644
final_answer,TIE,no_mlp,accuracy,0.7272727272727273,0.6704545454545454,0.7840909090909091
final_answer,TSI,clean,mean_within_fold_auc,0.8863636363636364,0.8181818181818182,0.9431818181818182
