sample_id,pair_id,actor,statement,repetition,intensity,emotion,alpha,clean_margin,margin,shift_from_clean,edge_contribution
pair_0010_sad,pair_0010,03,02,01,01,sad,1.0,-3.3699402809143066,-3.3699402809143066,0.0,0.0
pair_0010_sad,pair_0010,03,02,01,01,sad,1.5,-3.3699402809143066,-3.435746908187866,-0.06580662727355957,0.06580662727355957
pair_0010_sad,pair_0010,03,02,01,01,sad,2.0,-3.3699402809143066,-3.3645968437194824,0.005343437194824219,-0.005343437194824219
pair_0011_happy,pair_0011,03,02,02,01,happy,0.0,-3.5249128341674805,-2.77563214302063,0.7492806911468506,-0.7492806911468506
pair_0011_happy,pair_0011,03,02,02,01,happy,0.5,-3.5249128341674805,-3.245512008666992,0.2794008255004883,-0.2794008255004883
pair_0011_happy,pair_0011,03,02,02,01,happy,1.0,-3.5249128341674805,-3.5249128341674805,0.0,0.0
pair_0011_happy,pair_0011,03,02,02,01,happy,1.5,-3.5249128341674805,-3.6492056846618652,-0.12429285049438477,0.12429285049438477
pair_0011_happy,pair_0011,03,02,02,01,happy,2.0,-3.5249128341674805,-3.646888256072998,-0.12197542190551758,0.12197542190551758
pair_0011_sad,pair_0011,03,02,02,01,sad,0.0,-3.3314507007598877,-2.70699405670166,0.6244566440582275,-0.6244566440582275
pair_0011_sad,pair_0011,03,02,02,01,sad,0.5,-3.3314507007598877,-3.133758783340454,0.1976919174194336,-0.1976919174194336
pair_0011_sad,pair_0011,03,02,02,01,sad,1.0,-3.3314507007598877,-3.3314507007598877,0.0,0.0
pair_0011_sad,pair_0011,03,02,02,01,sad,1.5,-3.3314507007598877,-3.345630407333374,-0.014179706573486328,0.014179706573486328
pair_0011_sad,pair_0011,03,02,02,01,sad,2.0,-3.3314507007598877,-3.217423439025879,0.11402726173400879,-0.11402726173400879
pair_0012_happy,pair_0012,04,01,01,01,happy,0.0,-4.602723121643066,-4.13669490814209,0.46602821350097656,-0.46602821350097656
pair_0012_happy,pair_0012,04,01,01,01,happy,0.5,-4.602723121643066,-4.449970245361328,0.15275287628173828,-0.15275287628173828
pair_0012_happy,pair_0012,04,01,01,01,happy,1.0,-4.602723121643066,-4.602723121643066,0.0,0.0
pair_0012_happy,pair_0012,04,01,01,01,happy,1.5,-4.602723121643066,-4.639570236206055,-0.03684711456298828,0.03684711456298828
pair_0012_happy,pair_0012,04,01,01,01,happy,2.0,-4.602723121643066,-4.593784332275391,0.008938789367675781,-0.008938789367675781
pair_0012_sad,pair_0012,04,01,01,01,sad,0.0,-4.866759777069092,-4.069241523742676,0.797518253326416,-0.797518253326416
pair_0012_sad,pair_0012,04,01,01,01,sad,0.5,-4.866759777069092,-4.573394775390625,0.2933650016784668,-0.2933650016784668
pair_0012_sad,pair_0012,04,01,01,01,sad,1.0,-4.866759777069092,-4.866759777069092,0.0,0.0
pair_0012_sad,pair_0012,04,01,01,01,sad,1.5,-4.866759777069092,-4.9944658279418945,-0.12770605087280273,0.12770605087280273
pair_0012_sad,pair_0012,04,01,01,01,sad,2.0,-4.866759777069092,-4.999383926391602,-0.13262414932250977,0.13262414932250977
pair_0013_happy,pair_0013,04,01,02,01,happy,0.0,-4.569589614868164,-4.113222122192383,0.45636749267578125,-0.45636749267578125
pair_0013_happy,pair_0013,04,01,02,01,happy,0.5,-4.569589614868164,-4.433956623077393,0.13563299179077148,-0.13563299179077148
pair_0013_happy,pair_0013,04,01,02,01,happy,1.0,-4.569589614868164,-4.569589614868164,0.0,0.0
pair_0013_happy,pair_0013,04,01,02,01,happy,1.5,-4.569589614868164,-4.567849159240723,0.0017404556274414062,-0.0017404556274414062
pair_0013_happy,pair_0013,04,01,02,01,happy,2.0,-4.569589614868164,-4.470198631286621,0.09939098358154297,-0.09939098358154297
pair_0013_sad,pair_0013,04,01,02,01,sad,0.0,-4.604321002960205,-4.065697193145752,0.5386238098144531,-0.5386238098144531
pair_0013_sad,pair_0013,04,01,02,01,sad,0.5,-4.604321002960205,-4.426499366760254,0.17782163619995117,-0.17782163619995117
pair_0013_sad,pair_0013,04,01,02,01,sad,1.0,-4.604321002960205,-4.604321002960205,0.0,0.0
pair_0013_sad,pair_0013,04,01,02,01,sad,1.5,-4.604321002960205,-4.639975070953369,-0.03565406799316406,0.03565406799316406
pair_0013_sad,pair_0013,04,01,02,01,sad,2.0,-4.604321002960205,-4.571550369262695,0.032770633697509766,-0.032770633697509766
pair_0014_happy,pair_0014,04,02,01,01,happy,0.0,-3.6035590171813965,-2.9937801361083984,0.609778881072998,-0.609778881072998
pair_0014_happy,pair_0014,04,02,01,01,happy,0.5,-3.6035590171813965,-3.398620128631592,0.2049388885498047,-0.2049388885498047
pair_0014_happy,pair_0014,04,02,01,01,happy,1.0,-3.6035590171813965,-3.6035590171813965,0.0,0.0
pair_0014_happy,pair_0014,04,02,01,01,happy,1.5,-3.6035590171813965,-3.6586661338806152,-0.05510711669921875,0.05510711669921875
pair_0014_happy,pair_0014,04,02,01,01,happy,2.0,-3.6035590171813965,-3.5972113609313965,0.00634765625,-0.00634765625
pair_0014_sad,pair_0014,04,02,01,01,sad,0.0,-3.5703775882720947,-2.897703170776367,0.6726744174957275,-0.6726744174957275
pair_0014_sad,pair_0014,04,02,01,01,sad,0.5,-3.5703775882720947,-3.3315227031707764,0.23885488510131836,-0.23885488510131836
pair_0014_sad,pair_0014,04,02,01,01,sad,1.0,-3.5703775882720947,-3.5703775882720947,0.0,0.0
pair_0014_sad,pair_0014,04,02,01,01,sad,1.5,-3.5703775882720947,-3.6529321670532227,-0.08255457878112793,0.08255457878112793
pair_0014_sad,pair_0014,04,02,01,01,sad,2.0,-3.5703775882720947,-3.6073732376098633,-0.036995649337768555,0.036995649337768555
pair_0015_happy,pair_0015,04,02,02,01,happy,0.0,-3.3836679458618164,-2.590719699859619,0.7929482460021973,-0.7929482460021973
pair_0015_happy,pair_0015,04,02,02,01,happy,0.5,-3.3836679458618164,-3.0874266624450684,0.29624128341674805,-0.29624128341674805
pair_0015_happy,pair_0015,04,02,02,01,happy,1.0,-3.3836679458618164,-3.3836679458618164,0.0,0.0
pair_0015_happy,pair_0015,04,02,02,01,happy,1.5,-3.3836679458618164,-3.5175938606262207,-0.1339259147644043,0.1339259147644043
pair_0015_happy,pair_0015,04,02,02,01,happy,2.0,-3.3836679458618164,-3.5174946784973145,-0.13382673263549805,0.13382673263549805
pair_0015_sad,pair_0015,04,02,02,01,sad,0.0,-3.808556318283081,-2.852628707885742,0.9559276103973389,-0.9559276103973389
pair_0015_sad,pair_0015,04,02,02,01,sad,0.5,-3.808556318283081,-3.433784008026123,0.374772310256958,-0.374772310256958
pair_0015_sad,pair_0015,04,02,02,01,sad,1.0,-3.808556318283081,-3.808556318283081,0.0,0.0
pair_0015_sad,pair_0015,04,02,02,01,sad,1.5,-3.808556318283081,-4.013721466064453,-0.20516514778137207,0.20516514778137207
pair_0015_sad,pair_0015,04,02,02,01,sad,2.0,-3.808556318283081,-4.081821918487549,-0.2732656002044678,0.2732656002044678
pair_0016_happy,pair_0016,05,01,01,01,happy,0.0,-4.557373046875,-3.9666340351104736,0.5907390117645264,-0.5907390117645264
pair_0016_happy,pair_0016,05,01,01,01,happy,0.5,-4.557373046875,-4.350184440612793,0.20718860626220703,-0.20718860626220703
pair_0016_happy,pair_0016,05,01,01,01,happy,1.0,-4.557373046875,-4.557373046875,0.0,0.0
pair_0016_happy,pair_0016,05,01,01,01,happy,1.5,-4.557373046875,-4.61625862121582,-0.05888557434082031,0.05888557434082031
pair_0016_happy,pair_0016,05,01,01,01,happy,2.0,-4.557373046875,-4.565390110015869,-0.00801706314086914,0.00801706314086914
pair_0016_sad,pair_0016,05,01,01,01,sad,0.0,-4.196678638458252,-3.7321724891662598,0.4645061492919922,-0.4645061492919922
pair_0016_sad,pair_0016,05,01,01,01,sad,0.5,-4.196678638458252,-4.021615982055664,0.1750626564025879,-0.1750626564025879
pair_0016_sad,pair_0016,05,01,01,01,sad,1.0,-4.196678638458252,-4.196678638458252,0.0,0.0
pair_0016_sad,pair_0016,05,01,01,01,sad,1.5,-4.196678638458252,-4.262684345245361,-0.06600570678710938,0.06600570678710938
pair_0016_sad,pair_0016,05,01,01,01,sad,2.0,-4.196678638458252,-4.237984657287598,-0.0413060188293457,0.0413060188293457
pair_0017_happy,pair_0017,05,01,02,01,happy,0.0,-4.383161544799805,-3.937021255493164,0.4461402893066406,-0.4461402893066406
pair_0017_happy,pair_0017,05,01,02,01,happy,0.5,-4.383161544799805,-4.238035202026367,0.1451263427734375,-0.1451263427734375
pair_0017_happy,pair_0017,05,01,02,01,happy,1.0,-4.383161544799805,-4.383161544799805,0.0,0.0
pair_0017_happy,pair_0017,05,01,02,01,happy,1.5,-4.383161544799805,-4.398271560668945,-0.015110015869140625,0.015110015869140625
pair_0017_happy,pair_0017,05,01,02,01,happy,2.0,-4.383161544799805,-4.317088603973389,0.06607294082641602,-0.06607294082641602
pair_0017_sad,pair_0017,05,01,02,01,sad,0.0,-4.5589680671691895,-4.056854248046875,0.5021138191223145,-0.5021138191223145
pair_0017_sad,pair_0017,05,01,02,01,sad,0.5,-4.5589680671691895,-4.3939056396484375,0.16506242752075195,-0.16506242752075195
pair_0017_sad,pair_0017,05,01,02,01,sad,1.0,-4.5589680671691895,-4.5589680671691895,0.0,0.0
pair_0017_sad,pair_0017,05,01,02,01,sad,1.5,-4.5589680671691895,-4.592794895172119,-0.03382682800292969,0.03382682800292969
pair_0017_sad,pair_0017,05,01,02,01,sad,2.0,-4.5589680671691895,-4.536893844604492,0.022074222564697266,-0.022074222564697266
pair_0018_happy,pair_0018,05,02,01,01,happy,0.0,-3.286710500717163,-2.6382222175598145,0.6484882831573486,-0.6484882831573486
pair_0018_happy,pair_0018,05,02,01,01,happy,0.5,-3.286710500717163,-3.0727717876434326,0.21393871307373047,-0.21393871307373047
pair_0018_happy,pair_0018,05,02,01,01,happy,1.0,-3.286710500717163,-3.286710500717163,0.0,0.0
pair_0018_happy,pair_0018,05,02,01,01,happy,1.5,-3.286710500717163,-3.3260645866394043,-0.03935408592224121,0.03935408592224121
pair_0018_happy,pair_0018,05,02,01,01,happy,2.0,-3.286710500717163,-3.228329658508301,0.058380842208862305,-0.058380842208862305
pair_0018_sad,pair_0018,05,02,01,01,sad,0.0,-3.481130361557007,-2.8434972763061523,0.6376330852508545,-0.6376330852508545
pair_0018_sad,pair_0018,05,02,01,01,sad,0.5,-3.481130361557007,-3.2641475200653076,0.21698284149169922,-0.21698284149169922
pair_0018_sad,pair_0018,05,02,01,01,sad,1.0,-3.481130361557007,-3.481130361557007,0.0,0.0
pair_0018_sad,pair_0018,05,02,01,01,sad,1.5,-3.481130361557007,-3.5523681640625,-0.07123780250549316,0.07123780250549316
pair_0018_sad,pair_0018,05,02,01,01,sad,2.0,-3.481130361557007,-3.5143468379974365,-0.03321647644042969,0.03321647644042969
pair_0019_happy,pair_0019,05,02,02,01,happy,0.0,-3.4755494594573975,-2.8027453422546387,0.6728041172027588,-0.6728041172027588
pair_0019_happy,pair_0019,05,02,02,01,happy,0.5,-3.4755494594573975,-3.247537136077881,0.2280123233795166,-0.2280123233795166
pair_0019_happy,pair_0019,05,02,02,01,happy,1.0,-3.4755494594573975,-3.4755494594573975,0.0,0.0
pair_0019_happy,pair_0019,05,02,02,01,happy,1.5,-3.4755494594573975,-3.539167642593384,-0.06361818313598633,0.06361818313598633
pair_0019_happy,pair_0019,05,02,02,01,happy,2.0,-3.4755494594573975,-3.478510618209839,-0.0029611587524414062,0.0029611587524414062
pair_0019_sad,pair_0019,05,02,02,01,sad,0.0,-3.2868447303771973,-2.6621246337890625,0.6247200965881348,-0.6247200965881348
pair_0019_sad,pair_0019,05,02,02,01,sad,0.5,-3.2868447303771973,-3.0675926208496094,0.2192521095275879,-0.2192521095275879
pair_0019_sad,pair_0019,05,02,02,01,sad,1.0,-3.2868447303771973,-3.2868447303771973,0.0,0.0
pair_0019_sad,pair_0019,05,02,02,01,sad,1.5,-3.2868447303771973,-3.354722023010254,-0.06787729263305664,0.06787729263305664
pair_0019_sad,pair_0019,05,02,02,01,sad,2.0,-3.2868447303771973,-3.2982797622680664,-0.01143503189086914,0.01143503189086914
pair_0020_happy,pair_0020,06,01,01,01,happy,0.0,-4.214656829833984,-3.94362211227417,0.27103471755981445,-0.27103471755981445
pair_0020_happy,pair_0020,06,01,01,01,happy,0.5,-4.214656829833984,-4.163278579711914,0.05137825012207031,-0.05137825012207031
pair_0020_happy,pair_0020,06,01,01,01,happy,1.0,-4.214656829833984,-4.214656829833984,0.0,0.0
pair_0020_happy,pair_0020,06,01,01,01,happy,1.5,-4.214656829833984,-4.139675617218018,0.0749812126159668,-0.0749812126159668
pair_0020_happy,pair_0020,06,01,01,01,happy,2.0,-4.214656829833984,-3.9804294109344482,0.23422741889953613,-0.23422741889953613
pair_0020_sad,pair_0020,06,01,01,01,sad,0.0,-4.52412223815918,-4.070034980773926,0.4540872573852539,-0.4540872573852539
pair_0020_sad,pair_0020,06,01,01,01,sad,0.5,-4.52412223815918,-4.380410194396973,0.14371204376220703,-0.14371204376220703
pair_0020_sad,pair_0020,06,01,01,01,sad,1.0,-4.52412223815918,-4.52412223815918,0.0,0.0
pair_0020_sad,pair_0020,06,01,01,01,sad,1.5,-4.52412223815918,-4.537724018096924,-0.01360177993774414,0.01360177993774414
pair_0020_sad,pair_0020,06,01,01,01,sad,2.0,-4.52412223815918,-4.456823348999023,0.06729888916015625,-0.06729888916015625
pair_0021_happy,pair_0021,06,01,02,01,happy,0.0,-4.25598669052124,-3.84493350982666,0.4110531806945801,-0.4110531806945801
