sample_id,pair_id,actor,statement,repetition,intensity,emotion,condition,clean_margin,margin,shift_from_clean
pair_0008_sad,pair_0008,03,01,01,01,sad,center_joint,-4.5847086906433105,-4.814615726470947,-0.22990703582763672
pair_0008_sad,pair_0008,03,01,01,01,sad,center_19,-4.5847086906433105,-4.594539642333984,-0.009830951690673828
pair_0008_sad,pair_0008,03,01,01,01,sad,center_23,-4.5847086906433105,-4.403632164001465,0.1810765266418457
pair_0009_happy,pair_0009,03,01,02,01,happy,clean,-4.718820571899414,-4.718820571899414,0.0
pair_0009_happy,pair_0009,03,01,02,01,happy,zero_noop,-4.718820571899414,-4.718820571899414,0.0
pair_0009_happy,pair_0009,03,01,02,01,happy,center_joint,-4.718820571899414,-4.949997901916504,-0.23117733001708984
pair_0009_happy,pair_0009,03,01,02,01,happy,center_19,-4.718820571899414,-4.72943639755249,-0.010615825653076172
pair_0009_happy,pair_0009,03,01,02,01,happy,center_23,-4.718820571899414,-4.540520668029785,0.1782999038696289
pair_0009_sad,pair_0009,03,01,02,01,sad,clean,-4.377320289611816,-4.377320289611816,0.0
pair_0009_sad,pair_0009,03,01,02,01,sad,zero_noop,-4.377320289611816,-4.377320289611816,0.0
pair_0009_sad,pair_0009,03,01,02,01,sad,center_joint,-4.377320289611816,-4.611579895019531,-0.23425960540771484
pair_0009_sad,pair_0009,03,01,02,01,sad,center_19,-4.377320289611816,-4.3844075202941895,-0.007087230682373047
pair_0009_sad,pair_0009,03,01,02,01,sad,center_23,-4.377320289611816,-4.196256637573242,0.18106365203857422
pair_0010_happy,pair_0010,03,02,01,01,happy,clean,-3.694944143295288,-3.694944143295288,0.0
pair_0010_happy,pair_0010,03,02,01,01,happy,zero_noop,-3.694944143295288,-3.694944143295288,0.0
pair_0010_happy,pair_0010,03,02,01,01,happy,center_joint,-3.694944143295288,-3.747584581375122,-0.052640438079833984
pair_0010_happy,pair_0010,03,02,01,01,happy,center_19,-3.694944143295288,-3.6794369220733643,0.015507221221923828
pair_0010_happy,pair_0010,03,02,01,01,happy,center_23,-3.694944143295288,-3.9473140239715576,-0.25236988067626953
pair_0010_sad,pair_0010,03,02,01,01,sad,clean,-3.3699402809143066,-3.3699402809143066,0.0
pair_0010_sad,pair_0010,03,02,01,01,sad,zero_noop,-3.3699402809143066,-3.3699402809143066,0.0
pair_0010_sad,pair_0010,03,02,01,01,sad,center_joint,-3.3699402809143066,-3.407413959503174,-0.03747367858886719
pair_0010_sad,pair_0010,03,02,01,01,sad,center_19,-3.3699402809143066,-3.354095458984375,0.01584482192993164
pair_0010_sad,pair_0010,03,02,01,01,sad,center_23,-3.3699402809143066,-3.619145393371582,-0.2492051124572754
pair_0011_happy,pair_0011,03,02,02,01,happy,clean,-3.5249128341674805,-3.5249128341674805,0.0
pair_0011_happy,pair_0011,03,02,02,01,happy,zero_noop,-3.5249128341674805,-3.5249128341674805,0.0
pair_0011_happy,pair_0011,03,02,02,01,happy,center_joint,-3.5249128341674805,-3.5933680534362793,-0.06845521926879883
pair_0011_happy,pair_0011,03,02,02,01,happy,center_19,-3.5249128341674805,-3.51218843460083,0.01272439956665039
pair_0011_happy,pair_0011,03,02,02,01,happy,center_23,-3.5249128341674805,-3.775557518005371,-0.2506446838378906
pair_0011_sad,pair_0011,03,02,02,01,sad,clean,-3.3314507007598877,-3.3314507007598877,0.0
pair_0011_sad,pair_0011,03,02,02,01,sad,zero_noop,-3.3314507007598877,-3.3314507007598877,0.0
pair_0011_sad,pair_0011,03,02,02,01,sad,center_joint,-3.3314507007598877,-3.3872692584991455,-0.05581855773925781
pair_0011_sad,pair_0011,03,02,02,01,sad,center_19,-3.3314507007598877,-3.320211172103882,0.01123952865600586
pair_0011_sad,pair_0011,03,02,02,01,sad,center_23,-3.3314507007598877,-3.584578037261963,-0.2531273365020752
pair_0012_happy,pair_0012,04,01,01,01,happy,clean,-4.602723121643066,-4.602723121643066,0.0
pair_0012_happy,pair_0012,04,01,01,01,happy,zero_noop,-4.602723121643066,-4.602723121643066,0.0
pair_0012_happy,pair_0012,04,01,01,01,happy,center_joint,-4.602723121643066,-4.791985988616943,-0.18926286697387695
pair_0012_happy,pair_0012,04,01,01,01,happy,center_19,-4.602723121643066,-4.606856822967529,-0.004133701324462891
pair_0012_happy,pair_0012,04,01,01,01,happy,center_23,-4.602723121643066,-4.420068740844727,0.18265438079833984
pair_0012_sad,pair_0012,04,01,01,01,sad,clean,-4.866759777069092,-4.866759777069092,0.0
pair_0012_sad,pair_0012,04,01,01,01,sad,zero_noop,-4.866759777069092,-4.866759777069092,0.0
pair_0012_sad,pair_0012,04,01,01,01,sad,center_joint,-4.866759777069092,-5.084330081939697,-0.21757030487060547
pair_0012_sad,pair_0012,04,01,01,01,sad,center_19,-4.866759777069092,-4.876131534576416,-0.009371757507324219
pair_0012_sad,pair_0012,04,01,01,01,sad,center_23,-4.866759777069092,-4.684226989746094,0.18253278732299805
pair_0013_happy,pair_0013,04,01,02,01,happy,clean,-4.569589614868164,-4.569589614868164,0.0
pair_0013_happy,pair_0013,04,01,02,01,happy,zero_noop,-4.569589614868164,-4.569589614868164,0.0
pair_0013_happy,pair_0013,04,01,02,01,happy,center_joint,-4.569589614868164,-4.810388088226318,-0.2407984733581543
pair_0013_happy,pair_0013,04,01,02,01,happy,center_19,-4.569589614868164,-4.58172607421875,-0.012136459350585938
pair_0013_happy,pair_0013,04,01,02,01,happy,center_23,-4.569589614868164,-4.390973091125488,0.17861652374267578
pair_0013_sad,pair_0013,04,01,02,01,sad,clean,-4.604321002960205,-4.604321002960205,0.0
