actor,statement,layer,n_calibration,shift_norm,mean_norm
07,02,19,92,1.7896116016521413,5.812906268371545
07,02,20,92,7.660584936625049,12.035810994655403
07,02,21,92,11.4824598574939,11.819872284492176
07,02,22,92,9.966180606390909,17.804223953795372
07,02,23,92,8.674670526300167,17.920749502656864
08,01,18,92,5.4360891255381665,11.305199903640094
08,01,19,92,1.8228988426189991,5.93085697720716
08,01,20,92,7.689088420817818,17.86748554108663
08,01,21,92,11.440516576879483,21.477116371620923
08,01,22,92,9.934567936819697,12.201262345283665
08,01,23,92,8.698214726759517,5.648446087514808
08,02,18,92,5.4360891255381665,13.054269159687355
08,02,19,92,1.8228988426189991,5.831703036685088
08,02,20,92,7.689088420817818,12.189501553885941
08,02,21,92,11.440516576879483,11.725422925738867
08,02,22,92,9.934567936819697,17.727018625968682
08,02,23,92,8.698214726759517,17.96422108703962
09,01,18,92,5.359772627554228,11.214260356855632
09,01,19,92,1.7798579059091064,5.886832237426462
09,01,20,92,7.650243997708766,17.845627011314242
09,01,21,92,11.425660669220457,21.39828542692109
09,01,22,92,9.95292479521408,12.200531738859322
09,01,23,92,8.704255287662045,5.639391684869737
09,02,18,92,5.359772627554228,12.893855559966742
09,02,19,92,1.7798579059091064,5.827258338915989
09,02,20,92,7.650243997708766,12.033206308364072
09,02,21,92,11.425660669220457,11.833800661329395
09,02,22,92,9.95292479521408,17.730164258766784
09,02,23,92,8.704255287662047,17.979281828547627
10,01,18,92,5.3980231751863315,11.261680746271857
10,01,19,92,1.7983260750511978,5.882225999024386
10,01,20,92,7.664575250154638,17.84264379213513
10,01,21,92,11.422207915079033,21.427172260601886
10,01,22,92,9.974646530863765,12.254119655313067
10,01,23,92,8.67794951748741,5.631852579962206
10,02,18,92,5.3980231751863315,12.982117918187383
10,02,19,92,1.7983260750511978,5.84097294070385
10,02,20,92,7.664575250154638,12.087547421263347
10,02,21,92,11.422207915079033,11.72804943040684
10,02,22,92,9.974646530863765,17.78032759554068
10,02,23,92,8.67794951748741,17.925586755076342
11,01,18,92,5.377012012657284,11.255977831742872
11,01,19,92,1.796961645961885,5.896671799779856
11,01,20,92,7.662933199463201,17.84891565385978
11,01,21,92,11.46058841924126,21.491080614469357
11,01,22,92,9.955665807055594,12.23005087358404
11,01,23,92,8.66325501754545,5.635909799486679
11,02,18,92,5.377012012657284,12.936243079706232
11,02,19,92,1.796961645961885,5.819513452945974
11,02,20,92,7.662933199463201,12.047575052514887
11,02,21,92,11.46058841924126,11.78578420504702
11,02,22,92,9.955665807055594,17.768223973868395
11,02,23,92,8.66325501754545,17.900207705455102
12,01,18,92,5.388490238564467,11.262808112598666
12,01,19,92,1.7948411382414513,5.904153847306691
12,01,20,92,7.659512491061887,17.83606366170502
12,01,21,92,11.428059460864159,21.43991204517986
12,01,22,92,9.963725897416513,12.273887250585306
12,01,23,92,8.644354183202386,5.6424473869488825
12,02,18,92,5.388490238564468,12.944126894286745
12,02,19,92,1.7948411382414513,5.814490835057676
12,02,20,92,7.659512491061887,12.083290884469921
12,02,21,92,11.428059460864159,11.73330025807678
12,02,22,92,9.963725897416513,17.767630629534718
12,02,23,92,8.644354183202386,17.866576999856484
13,01,18,92,5.371291784333851,11.268882409639659
13,01,19,92,1.802374735085933,5.911694417276238
13,01,20,92,7.6526459723126825,17.827299715918805
13,01,21,92,11.483638332600847,21.53424900231187
13,01,22,92,9.95761019922205,12.248046807802542
13,01,23,92,8.661448985462368,5.632514679517871
13,02,18,92,5.371291784333851,12.901120417365654
13,02,19,92,1.802374735085933,5.823938650226306
13,02,20,92,7.6526459723126825,12.05055664535805
13,02,21,92,11.483638332600847,11.813353639899356
13,02,22,92,9.95761019922205,17.776618557840745
13,02,23,92,8.661448985462368,17.897624853880025
14,01,18,92,5.3695166340857785,11.250228971507992
14,01,19,92,1.7793591442224146,5.874654635563509
14,01,20,92,7.655951662144649,17.84205490832821
14,01,21,92,11.454094161297155,21.50844853405865
14,01,22,92,9.988456982471378,12.278162050770984
14,01,23,92,8.696906472898549,5.641473271069008
14,02,18,92,5.3695166340857785,12.935930398167127
14,02,19,92,1.7793591442224146,5.820888771573515
14,02,20,92,7.655951662144649,12.061637451728544
14,02,21,92,11.454094161297155,11.743435520340396
14,02,22,92,9.988456982471378,17.815973298468535
14,02,23,92,8.69690647289855,17.961532741285797
15,01,18,92,5.382021287272905,11.335621358936839
15,01,19,92,1.8063862904866885,5.90762259623218
15,01,20,92,7.680648680334369,17.918939023316987
15,01,21,92,11.538468849248192,21.643823340582973
15,01,22,92,9.953589348486348,12.229005926500994
15,01,23,92,8.683455575909814,5.627835573379636
15,02,18,92,5.382021287272905,12.924244872278859
15,02,19,92,1.8063862904866885,5.818349817057384
15,02,20,92,7.680648680334369,12.012560377953687
15,02,21,92,11.538468849248192,11.865149046522788
15,02,22,92,9.953589348486348,17.786174766715842
15,02,23,92,8.683455575909814,17.938831548047162
16,01,18,92,5.3827405106292945,11.26071832850188
16,01,19,92,1.7900114583833162,5.893027210400838
16,01,20,92,7.657882077833397,17.832294311094987
16,01,21,92,11.450830901532584,21.462051261252206
16,01,22,92,9.953251525474196,12.221011509238481
16,01,23,92,8.676498246308642,5.638490467513127
16,02,18,92,5.3827405106292945,12.940704749114655
16,02,19,92,1.7900114583833162,5.812517189615817
16,02,20,92,7.657882077833397,12.062678483438235
16,02,21,92,11.450830901532585,11.800508705953991
16,02,22,92,9.953251525474196,17.789000490820413
16,02,23,92,8.676498246308642,17.92862946307025
17,01,18,92,5.370732620445194,11.258671249063045
17,01,19,92,1.8038990496246126,5.896793073042924
17,01,20,92,7.655697733932891,17.84435378337813
17,01,21,92,11.454180666880177,21.496163336170536
17,01,22,92,9.97431920303242,12.270493130038608
17,01,23,92,8.703182967491069,5.635133966270249
17,02,18,92,5.370732620445194,12.935059746699618
17,02,19,92,1.8038990496246126,5.815075275634874
17,02,20,92,7.655697733932891,12.015852292418867
17,02,21,92,11.454180666880177,11.788529849649441
17,02,22,92,9.974319203032422,17.762575075769284
17,02,23,92,8.70318296749107,17.974786590808197
18,01,18,92,5.393015058488165,11.264481548274091
18,01,19,92,1.805440699088976,5.893866160897365
18,01,20,92,7.669545466810999,17.84513868288773
18,01,21,92,11.53871112792484,21.647866888820225
18,01,22,92,10.053704943274756,12.33806866099899
18,01,23,92,8.764639626950755,5.628824338386251
18,02,18,92,5.393015058488165,12.974047722896492
