layer,state,statement,condition,metric,mean,ci_low,ci_high
2,out,01,within,mean_within_fold_auc,0.7708333333333334,0.65625,0.875
2,out,01,within,pooled_roc_auc,0.7764756944444444,0.6727430555555556,0.8728298611111112
2,out,01,within,accuracy,0.7291666666666666,0.6354166666666666,0.8229166666666666
2,out,01,cross,mean_within_fold_auc,0.8541666666666666,0.7604166666666666,0.9375
2,out,01,cross,pooled_roc_auc,0.7825520833333334,0.7061631944444444,0.8580729166666666
2,out,01,cross,accuracy,0.5104166666666666,0.5,0.53125
2,out,01,gap,mean_within_fold_auc,-0.08333333333333326,-0.21875,0.05208333333333337
2,out,01,gap,pooled_roc_auc,-0.006076388888888951,-0.11979166666666674,0.09853515624999987
2,out,01,gap,accuracy,0.21875,0.11458333333333337,0.32291666666666663
2,out,02,within,mean_within_fold_auc,0.75,0.625,0.8645833333333334
2,out,02,within,pooled_roc_auc,0.7322048611111112,0.6310763888888888,0.828125
2,out,02,within,accuracy,0.6875,0.5833333333333334,0.7916666666666666
2,out,02,cross,mean_within_fold_auc,0.7395833333333334,0.6041666666666666,0.8541666666666666
2,out,02,cross,pooled_roc_auc,0.7612847222222222,0.6497395833333334,0.8619791666666666
2,out,02,cross,accuracy,0.6145833333333334,0.5520833333333334,0.6875
2,out,02,gap,mean_within_fold_auc,0.01041666666666663,-0.10416666666666663,0.125
2,out,02,gap,pooled_roc_auc,-0.02907986111111105,-0.10026041666666663,0.04731987847222208
2,out,02,gap,accuracy,0.07291666666666663,-0.04166666666666663,0.17708333333333337
2,out,combined,within,mean_within_fold_auc,0.7604166666666666,0.6614583333333334,0.8489583333333334
2,out,combined,within,pooled_roc_auc,0.7547743055555556,0.6727430555555556,0.8311631944444444
2,out,combined,within,accuracy,0.7083333333333334,0.6197916666666666,0.7916666666666666
2,out,combined,cross,mean_within_fold_auc,0.796875,0.71875,0.8697916666666666
2,out,combined,cross,pooled_roc_auc,0.716796875,0.6629747178819445,0.7725694444444444
2,out,combined,cross,accuracy,0.5625,0.53125,0.5989583333333334
2,out,combined,gap,mean_within_fold_auc,-0.03645833333333337,-0.125,0.046875
2,out,combined,gap,pooled_roc_auc,0.03797743055555558,-0.026692708333333263,0.09798177083333326
2,out,combined,gap,accuracy,0.14583333333333337,0.05729166666666663,0.22916666666666674
3,in,01,within,mean_within_fold_auc,0.7708333333333334,0.65625,0.875
3,in,01,within,pooled_roc_auc,0.7764756944444444,0.6727430555555556,0.8728298611111112
3,in,01,within,accuracy,0.7291666666666666,0.6354166666666666,0.8229166666666666
3,in,01,cross,mean_within_fold_auc,0.8541666666666666,0.7604166666666666,0.9375
3,in,01,cross,pooled_roc_auc,0.7825520833333334,0.7061631944444444,0.8580729166666666
3,in,01,cross,accuracy,0.5104166666666666,0.5,0.53125
3,in,01,gap,mean_within_fold_auc,-0.08333333333333326,-0.21875,0.05208333333333337
3,in,01,gap,pooled_roc_auc,-0.006076388888888951,-0.11979166666666674,0.09853515624999987
3,in,01,gap,accuracy,0.21875,0.11458333333333337,0.32291666666666663
3,in,02,within,mean_within_fold_auc,0.75,0.625,0.8645833333333334
3,in,02,within,pooled_roc_auc,0.7322048611111112,0.6310763888888888,0.828125
3,in,02,within,accuracy,0.6875,0.5833333333333334,0.7916666666666666
3,in,02,cross,mean_within_fold_auc,0.7395833333333334,0.6041666666666666,0.8541666666666666
3,in,02,cross,pooled_roc_auc,0.7612847222222222,0.6497395833333334,0.8619791666666666
3,in,02,cross,accuracy,0.6145833333333334,0.5520833333333334,0.6875
3,in,02,gap,mean_within_fold_auc,0.01041666666666663,-0.10416666666666663,0.125
3,in,02,gap,pooled_roc_auc,-0.02907986111111105,-0.10026041666666663,0.04731987847222208
3,in,02,gap,accuracy,0.07291666666666663,-0.04166666666666663,0.17708333333333337
3,in,combined,within,mean_within_fold_auc,0.7604166666666666,0.6614583333333334,0.8489583333333334
3,in,combined,within,pooled_roc_auc,0.7547743055555556,0.6727430555555556,0.8311631944444444
3,in,combined,within,accuracy,0.7083333333333334,0.6197916666666666,0.7916666666666666
3,in,combined,cross,mean_within_fold_auc,0.796875,0.71875,0.8697916666666666
3,in,combined,cross,pooled_roc_auc,0.716796875,0.6629747178819445,0.7725694444444444
3,in,combined,cross,accuracy,0.5625,0.53125,0.5989583333333334
3,in,combined,gap,mean_within_fold_auc,-0.03645833333333337,-0.125,0.046875
3,in,combined,gap,pooled_roc_auc,0.03797743055555558,-0.026692708333333263,0.09798177083333326
3,in,combined,gap,accuracy,0.14583333333333337,0.05729166666666663,0.22916666666666674
3,attn,01,within,mean_within_fold_auc,0.78125,0.6666666666666666,0.8854166666666666
3,attn,01,within,pooled_roc_auc,0.7717013888888888,0.669259982638889,0.8676323784722221
3,attn,01,within,accuracy,0.71875,0.6145833333333334,0.8125
3,attn,01,cross,mean_within_fold_auc,0.8229166666666666,0.71875,0.90625
3,attn,01,cross,pooled_roc_auc,0.7677951388888888,0.6901041666666666,0.8454861111111112
3,attn,01,cross,accuracy,0.5104166666666666,0.5,0.53125
3,attn,01,gap,mean_within_fold_auc,-0.04166666666666663,-0.17708333333333326,0.08333333333333337
3,attn,01,gap,pooled_roc_auc,0.00390625,-0.10981987847222222,0.11241319444444442
3,attn,01,gap,accuracy,0.20833333333333337,0.10416666666666663,0.3125
3,attn,02,within,mean_within_fold_auc,0.7395833333333334,0.6145833333333334,0.8541666666666666
3,attn,02,within,pooled_roc_auc,0.73046875,0.6280381944444444,0.8259548611111112
3,attn,02,within,accuracy,0.7083333333333334,0.6041666666666666,0.8020833333333334
3,attn,02,cross,mean_within_fold_auc,0.71875,0.5729166666666666,0.84375
3,attn,02,cross,pooled_roc_auc,0.7552083333333334,0.6384440104166668,0.8572048611111112
3,attn,02,cross,accuracy,0.5833333333333334,0.5208333333333334,0.6458333333333334
3,attn,02,gap,mean_within_fold_auc,0.02083333333333337,-0.10416666666666663,0.14583333333333337
3,attn,02,gap,pooled_roc_auc,-0.02473958333333337,-0.09592013888888884,0.05295138888888884
3,attn,02,gap,accuracy,0.125,0.01041666666666674,0.22916666666666663
3,attn,combined,within,mean_within_fold_auc,0.7604166666666666,0.6614583333333334,0.8489583333333334
3,attn,combined,within,pooled_roc_auc,0.7529296875,0.6730604383680555,0.8275851779513889
3,attn,combined,within,accuracy,0.7135416666666666,0.6302083333333334,0.7916666666666666
3,attn,combined,cross,mean_within_fold_auc,0.7708333333333334,0.671875,0.859375
3,attn,combined,cross,pooled_roc_auc,0.7222222222222222,0.6611328125,0.7832058376736111
3,attn,combined,cross,accuracy,0.546875,0.515625,0.578125
3,attn,combined,gap,mean_within_fold_auc,-0.01041666666666674,-0.10416666666666674,0.078125
3,attn,combined,gap,pooled_roc_auc,0.03070746527777779,-0.0322265625,0.09027777777777779
3,attn,combined,gap,accuracy,0.16666666666666663,0.078125,0.25
3,out,01,within,mean_within_fold_auc,0.75,0.625,0.8645833333333334
3,out,01,within,pooled_roc_auc,0.7708333333333334,0.6605902777777778,0.8693576388888888
3,out,01,within,accuracy,0.7291666666666666,0.6354166666666666,0.8229166666666666
3,out,01,cross,mean_within_fold_auc,0.78125,0.6770833333333334,0.875
3,out,01,cross,pooled_roc_auc,0.7595486111111112,0.6749131944444444,0.8411458333333334
3,out,01,cross,accuracy,0.5,0.5,0.5
3,out,01,gap,mean_within_fold_auc,-0.03125,-0.17708333333333337,0.11458333333333326
3,out,01,gap,pooled_roc_auc,0.01128472222222221,-0.11545138888888884,0.13020833333333337
3,out,01,gap,accuracy,0.22916666666666663,0.13541666666666663,0.32291666666666663
3,out,02,within,mean_within_fold_auc,0.7604166666666666,0.6354166666666666,0.8645833333333334
