blocks,component,statement,condition,metric,mean,ci_low,ci_high
0:0,attention,combined,within,pooled_roc_auc,0.4165581597222222,0.35676812065972224,0.47016330295138886
1:23,attention,combined,within,pooled_roc_auc,-0.17046440972222232,-0.3027398003472222,-0.04861111111111127
0:0,mlp,combined,within,pooled_roc_auc,-0.01725260416666663,-0.03645833333333337,0.0004340277777777901
1:23,mlp,combined,within,pooled_roc_auc,-0.02929687499999989,-0.11035970052083342,0.05132649739583349
0:0,attention,combined,within,accuracy,0.34895833333333337,0.28645833333333337,0.41145833333333337
1:23,attention,combined,within,accuracy,-0.11458333333333315,-0.2656249999999999,0.03125000000000011
0:0,mlp,combined,within,accuracy,-0.04166666666666674,-0.078125,-0.005208333333333259
1:23,mlp,combined,within,accuracy,-0.02083333333333348,-0.13020833333333348,0.09374999999999989
0:0,attention,combined,cross,mean_within_fold_auc,0.44791666666666663,0.39583333333333337,0.48958333333333337
1:23,attention,combined,cross,mean_within_fold_auc,-0.1927083333333336,-0.3749999999999998,-3.3029134982602446e-16
0:0,mlp,combined,cross,mean_within_fold_auc,-0.02083333333333326,-0.05729166666666663,0.015625
1:23,mlp,combined,cross,mean_within_fold_auc,-0.13020833333333315,-0.3125,0.04687499999999978
0:0,attention,combined,cross,pooled_roc_auc,0.4185112847222222,0.36805284288194445,0.4625678168402777
1:23,attention,combined,cross,pooled_roc_auc,-0.22905815972222243,-0.3121744791666665,-0.1366102430555559
0:0,mlp,combined,cross,pooled_roc_auc,-0.0031467013888888395,-0.025284830729166687,0.014756944444444423
1:23,mlp,combined,cross,pooled_roc_auc,-0.1450737847222221,-0.2251519097222221,-0.06857638888888927
0:0,attention,combined,cross,accuracy,0.33333333333333337,0.27604166666666663,0.390625
1:23,attention,combined,cross,accuracy,-0.38541666666666646,-0.5364583333333334,-0.2343750000000004
0:0,mlp,combined,cross,accuracy,0.02604166666666663,-0.00520833333333337,0.05729166666666663
1:23,mlp,combined,cross,accuracy,0.031249999999999833,-0.10937499999999989,0.16666666666666685
0:0,attention,combined,gap,mean_within_fold_auc,-0.01041666666666663,-0.06770833333333326,0.046875
1:23,attention,combined,gap,mean_within_fold_auc,-0.03645833333333326,-0.23437500000000006,0.16145833333333315
0:0,mlp,combined,gap,mean_within_fold_auc,0.02083333333333326,-0.03124999999999989,0.078125
1:23,mlp,combined,gap,mean_within_fold_auc,0.13020833333333337,-0.041666666666667074,0.3020833333333335
0:0,attention,combined,gap,pooled_roc_auc,-0.001953125,-0.03396267361111116,0.026041666666666633
1:23,attention,combined,gap,pooled_roc_auc,0.05859375000000011,-0.10319010416666664,0.1971598307291662
0:0,mlp,combined,gap,pooled_roc_auc,-0.01410590277777779,-0.03190104166666674,0.004340277777777901
1:23,mlp,combined,gap,pooled_roc_auc,0.11577690972222221,0.018988715277778442,0.22840711805555536
0:0,attention,combined,gap,accuracy,0.015625,-0.04166666666666663,0.07291666666666663
1:23,attention,combined,gap,accuracy,0.2708333333333333,0.08333333333333337,0.46354166666666663
0:0,mlp,combined,gap,accuracy,-0.06770833333333337,-0.125,-0.01041666666666663
1:23,mlp,combined,gap,accuracy,-0.052083333333333315,-0.21354166666666685,0.11458333333333376
