layer,component,statement,condition,metric,mean,ci_low,ci_high
8,attention,01,cross,mean_within_fold_auc,0.02083333333333326,-0.05208333333333326,0.09375
9,attention,01,cross,mean_within_fold_auc,0.01041666666666663,-0.03125,0.05208333333333337
10,attention,01,cross,mean_within_fold_auc,-0.04166666666666663,-0.16666666666666663,0.08333333333333337
11,attention,01,cross,mean_within_fold_auc,0.07291666666666663,-0.05208333333333337,0.20833333333333326
12,attention,01,cross,mean_within_fold_auc,0.04166666666666663,-0.02083333333333337,0.11458333333333337
13,attention,01,cross,mean_within_fold_auc,-0.0625,-0.15625,0.02083333333333337
14,attention,01,cross,mean_within_fold_auc,-0.01041666666666663,-0.10416666666666663,0.07291666666666674
15,attention,01,cross,mean_within_fold_auc,0.04166666666666663,0.0,0.09375
16,attention,01,cross,mean_within_fold_auc,-0.04166666666666663,-0.11458333333333331,0.02083333333333337
17,attention,01,cross,mean_within_fold_auc,-0.04166666666666663,-0.14583333333333326,0.05208333333333337
18,attention,01,cross,mean_within_fold_auc,-0.01041666666666663,-0.05208333333333337,0.03125
19,attention,01,cross,mean_within_fold_auc,-0.01041666666666674,-0.07291666666666663,0.05208333333333337
20,attention,01,cross,mean_within_fold_auc,0.0,-0.05208333333333337,0.05234374999999625
21,attention,01,cross,mean_within_fold_auc,-0.05208333333333326,-0.13541666666666663,0.02083333333333337
22,attention,01,cross,mean_within_fold_auc,-0.09375,-0.16666666666666669,-0.020833333333333315
23,attention,01,cross,mean_within_fold_auc,0.010416666666666685,-0.03125,0.05208333333333337
0,mlp,01,cross,mean_within_fold_auc,0.0,-0.0625,0.0625
1,mlp,01,cross,mean_within_fold_auc,0.02083333333333337,0.0,0.05208333333333337
2,mlp,01,cross,mean_within_fold_auc,-0.02083333333333337,-0.0625,0.02083333333333326
3,mlp,01,cross,mean_within_fold_auc,-0.04166666666666663,-0.10416666666666663,0.01041666666666663
4,mlp,01,cross,mean_within_fold_auc,0.0,-0.03125,0.03125
5,mlp,01,cross,mean_within_fold_auc,-0.01041666666666663,-0.03125,0.0
6,mlp,01,cross,mean_within_fold_auc,-0.01041666666666663,-0.05208333333333326,0.02083333333333337
7,mlp,01,cross,mean_within_fold_auc,0.01041666666666674,-0.04166666666666663,0.0625
8,mlp,01,cross,mean_within_fold_auc,-0.02083333333333326,-0.07291666666666663,0.03125
9,mlp,01,cross,mean_within_fold_auc,0.03125,-0.01041666666666674,0.08333333333333337
10,mlp,01,cross,mean_within_fold_auc,0.01041666666666663,-0.05208333333333326,0.07291666666666674
11,mlp,01,cross,mean_within_fold_auc,0.02083333333333337,-0.04166666666666663,0.08333333333333337
12,mlp,01,cross,mean_within_fold_auc,0.07291666666666674,0.0,0.15625
13,mlp,01,cross,mean_within_fold_auc,0.02083333333333326,-0.04166666666666663,0.08333333333333337
